ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
231.3233982,40.2326906,0.2786,0.3764,-0.0141,15.296,0.118,9.2,1.203,14.237,0.176,6.2,0.9139,1,0,0000,BB,10,56682.21303064,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.545767,93.554786
231.3234273,40.2326754,0.2641,0.3267,0.0696,15.177,0.125,8.7,0.9774,14.074,0.131,8.3,0.7809,1,0,0000,BB,10,56682.213158,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.630946,98.068673
231.3231741,40.2326498,0.3294,0.4156,-0.1014,15.366,0.131,8.3,0.9562,14.117,0.161,6.8,0.3892,1,0,0000,BB,10,56682.27899179,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.194245,201.498501
231.3231097,40.2327218,0.2816,0.3356,-0.1038,15.015,0.099,10.9,1.114,14.425,0.196,5.5,0.51,1,0,0000,AB,10,56682.34482553,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.260295,287.548468
231.3231762,40.2326679,0.3685,0.3862,0.1162,15.379,0.187,5.8,1.153,13.916,0.137,7.9,0.4842,1,0,0000,BB,10,56682.41065933,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.13277,209.511193
231.3232526,40.2327467,0.2351,0.2913,0.1151,15.125,0.097,11.2,1.107,14.27,0.186,5.8,0.9267,1,0,0000,AB,10,56682.41078664,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.221725,40.691475
231.3230684,40.2324789,0.4753,0.5662,0.211,15.996,0.458,2.4,0.284,14.026,0.178,6.1,1.043,1,0,0000,CB,10,56682.54245427,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.874282,204.436958
231.3232866,40.23265,0.2797,0.3447,-0.0051,15.189,0.113,9.6,0.9577,14.41,0.199,5.5,1.197,1,0,0000,BB,10,56682.60841543,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.298407,127.099556
231.3231189,40.2326411,0.2688,0.2973,-0.0648,15.083,0.096,11.4,0.7407,14.242,0.231,4.7,0.3612,1,0,0000,AB,10,56682.67424922,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.307635,226.429112
231.3233873,40.2327686,0.2965,0.3167,-0.1063,15.085,0.126,8.6,0.7536,14.177,0.148,7.3,1.012,1,0,0000,BB,10,56682.74008301,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.570934,64.370383
231.3233032,40.2327072,0.2526,0.2747,0.053,15.06,0.096,11.4,1.214,14.433,0.191,5.7,0.4234,1,0,0000,AB,5,56682.80604417,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.284817,84.778374
231.3232898,40.2325486,0.3612,0.3476,0.1442,15.033,0.118,9.2,0.4449,14.422,0.233,4.7,0.6366,1,0,0000,BB,10,56682.87187796,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.598316,155.638341
231.3233936,40.2327189,0.2494,0.3406,0.1041,15.025,0.117,9.3,0.6386,14.191,0.175,6.2,0.5355,1,0,0000,BB,10,56683.00367291,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.536409,82.712737
231.3232899,40.2328091,0.3315,0.4062,-0.1158,15.11,0.145,7.5,0.7336,14.228,0.203,5.3,0.5663,1,0,0000,BB,10,56683.13534054,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.46401,32.172942
231.3233516,40.2326536,0.2121,0.2651,0.0248,14.977,0.085,12.8,0.731,14.223,0.172,6.3,0.664,1,0,0000,AB,10,56683.26713539,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.448891,111.846473
231.323303,40.2327328,0.2996,0.3356,-0.0558,15.283,0.125,8.7,0.8829,14.348,0.193,5.6,0.3531,1,0,0000,BB,10,56858.74236443,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.306712,67.357604
231.3232676,40.2325447,0.369,0.4026,-0.0817,15.107,0.171,6.3,0.4233,14.527,0.225,4.8,0.7907,1,0,0000,BB,10,56858.87390422,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.589143,161.617809
231.3233997,40.2328073,0.3244,0.3968,0.106,15.209,0.124,8.7,0.4846,14.329,0.174,6.2,0.723,1,0,0000,BB,10,56859.00544397,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.671147,54.861747
231.3230053,40.2326792,0.3133,0.3672,0.0605,15.296,0.127,8.5,0.3959,14.332,0.194,5.6,0.7556,1,0,0000,BB,10,56859.13711108,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.540313,262.034048
231.323167,40.2325963,0.366,0.4333,-0.0223,15.537,0.203,5.4,0.8628,14.225,0.167,6.5,0.3664,1,0,0000,BB,10,56859.20281727,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.384174,193.655043
231.3231966,40.2326496,0.2631,0.321,0.0981,15.021,0.099,11.0,0.9517,14.133,0.199,5.5,0.2797,1,0,0000,AB,10,56859.26865134,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.18168,182.948191
231.3234545,40.2326119,0.3214,0.3387,0.1022,14.945,0.134,8.1,0.5344,14.193,0.178,6.1,0.8005,1,0,0000,BB,5,56859.33435748,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.768003,114.391368
231.3232534,40.2326687,0.3009,0.3201,-0.0616,15.05,0.105,10.4,0.4857,14.334,0.194,5.6,0.376,1,0,0000,AB,10,56859.40019103,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.185029,127.516212
231.3232292,40.2327264,0.3441,0.3957,-0.0836,15.3,0.128,8.5,0.3379,14.767,0.318,3.4,0.5655,1,0,0000,BB,10,56859.46602458,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.124395,40.177636
231.3233601,40.2325064,0.3313,0.3712,-0.1234,15.02,0.116,9.4,0.7455,14.748,0.419,2.6,0.4852,1,0,0000,BC,10,56859.53173078,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,0.824237,147.734621
231.3232557,40.2323586,0.3063,0.4065,0.1183,15.202,0.122,8.9,0.5333,14.396,0.284,3.8,0.6112,1,0,0000,BB,10,56859.59756433,2314140801351005476,15.25,0.03,14.36,0.036,11.809,0.13,8.929,0.235,,,,,,,,1.238537,172.900081
