ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
153.9007763,22.1802806,0.0748,0.0833,-0.0131,13.325,0.035,31.5,0.99,12.235,0.04,27.4,0.4319,1,0,0000,AA,10,56984.64054094,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.246941,63.507344
153.900784,22.1802791,0.0814,0.0866,-0.0228,13.301,0.034,31.5,0.5593,12.263,0.043,25.4,0.5742,1,0,0000,AA,10,56984.77195394,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.268002,66.990588
153.9007365,22.1803267,0.0788,0.1006,0.0325,13.357,0.04,27.1,0.7909,12.288,0.051,21.3,0.8648,1,0,0000,AA,10,56984.90349419,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.289913,17.741288
153.900763,22.1802845,0.1034,0.1119,0.0426,13.23,0.045,24.0,0.8564,12.305,0.044,24.6,0.9615,1,0,0000,AA,10,56985.03490719,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.215962,54.894224
153.9007314,22.1802969,0.0782,0.0938,-0.0198,13.301,0.038,28.6,0.8635,12.259,0.043,25.5,0.7435,1,0,0000,AA,10,56985.0350345,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.183285,22.90526
153.9007154,22.1802736,0.063,0.0776,-0.0113,13.076,0.031,34.9,3.204,12.114,0.037,29.6,0.3318,1,0,0000,AA,10,57152.36614331,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.086825,11.962988
153.9007224,22.1802261,0.0702,0.0908,-0.0288,13.067,0.043,25.5,0.8056,12.11,0.038,28.3,0.9399,1,0,0000,AA,5,57152.49742866,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.095479,154.338711
153.900723,22.1802683,0.0726,0.0845,-0.0206,13.13,0.033,33.0,0.6559,12.101,0.044,24.7,0.8251,1,0,0000,AA,10,57152.62871402,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.078842,33.337505
153.9007565,22.1802404,0.0678,0.0805,0.0193,13.08,0.033,33.1,1.003,12.087,0.039,27.6,0.8571,1,0,0000,AA,10,57152.75999937,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.158818,102.568513
153.9007502,22.1802521,0.07,0.0839,-0.0039,13.157,0.036,30.6,0.683,12.12,0.042,25.7,0.5732,1,0,0000,AA,10,57152.82557837,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.134221,86.771168
153.9007042,22.1802474,0.0749,0.0906,0.0172,13.128,0.036,30.1,0.6119,12.151,0.04,27.1,0.6846,1,0,0000,AA,10,57152.89115741,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.021515,244.168433
153.9007018,22.1802636,0.0733,0.0825,0.0206,13.112,0.032,34.3,0.6108,12.16,0.049,22.3,0.5954,1,0,0000,AA,5,57152.95686377,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.056088,330.824332
153.9007732,22.1802454,0.0672,0.0764,-0.0253,13.047,0.03,35.9,0.7346,12.147,0.037,29.7,0.7745,1,0,0000,AA,5,57153.02244281,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.211341,94.494267
153.9007383,22.1802671,0.0694,0.0807,0.0089,13.034,0.034,32.1,0.6355,12.104,0.042,26.1,0.6444,1,0,0000,AA,10,57153.08814979,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.112638,56.87447
153.9007735,22.1802747,0.0767,0.0922,-0.0174,13.131,0.036,30.0,0.6085,12.195,0.046,23.4,0.4075,1,0,0000,AA,10,57153.21930778,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.229595,67.214632
153.9008177,22.1803312,0.0765,0.0918,0.031,13.149,0.042,26.0,1.176,12.016,0.043,25.4,1.2,1,0,0000,AA,10,57153.21943509,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.46298,50.847628
153.9007408,22.180255,0.0717,0.0796,-0.0192,13.136,0.033,32.8,0.7888,12.14,0.037,29.3,0.8543,1,0,0000,AA,10,57153.35059314,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.10423,80.056487
153.9007159,22.1802843,0.0636,0.074,-0.0218,12.964,0.03,36.7,1.062,11.999,0.034,31.9,0.7698,1,0,0000,AA,5,57345.98313267,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.125039,9.050211
153.9007881,22.1802546,0.0639,0.0697,-0.019,12.987,0.029,36.8,1.059,11.939,0.033,32.9,0.8953,1,0,0000,AA,10,57346.11429118,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.260875,86.360555
153.9007743,22.180248,0.0679,0.0729,-0.0191,12.958,0.031,35.4,0.9049,11.914,0.035,31.2,1.426,1,0,0000,AA,10,57346.24544964,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.214469,91.923819
