ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
182.6356928,39.40592,0.0251,0.0246,-0.0142,7.325,0.017,65.5,7.743,6.281,0.013,85.4,1.001,1,0,0000,AA,10,56998.83378366,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.313762,323.433415
182.6357853,39.4058859,0.0215,0.0237,-0.0088,7.401,0.013,81.0,27.89,6.26,0.016,69.6,3.239,1,0,0000,AA,10,56998.89949016,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.147147,28.569471
182.6357438,39.4058729,0.0244,0.0295,-0.0121,7.328,0.015,70.1,14.3,6.278,0.015,70.7,4.118,1,0,0000,AA,10,56998.96519668,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.093933,331.338812
182.6357464,39.4058732,0.0237,0.0234,-0.0068,7.399,0.016,70.0,15.38,6.271,0.013,84.2,4.264,1,0,0000,AA,10,56999.03090318,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.091694,335.632155
182.6356949,39.4059013,0.0259,0.0292,-0.0089,7.287,0.018,61.5,3.159,6.246,0.018,59.8,0.9261,1,0,0000,AA,5,56999.0966097,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.258638,315.563528
182.6356786,39.4058618,0.0264,0.0276,-0.0107,7.337,0.017,64.5,11.53,6.288,0.015,70.9,5.219,1,0,0000,AA,10,56999.16231616,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.230375,280.625968
182.6357154,39.4058944,0.0272,0.0297,-0.0113,7.206,0.022,49.7,2.349,6.186,0.017,64.7,4.813,1,0,0000,AA,5,56999.22814994,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.202344,322.183223
182.6357107,39.405873,0.0241,0.0282,-0.0079,7.365,0.016,66.5,9.693,6.205,0.017,63.3,2.784,1,0,0000,AA,10,56999.35956296,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.160181,301.123275
182.635684,39.4058782,0.0239,0.025,-0.0115,7.279,0.017,62.8,4.907,6.312,0.014,77.6,2.991,1,0,0000,AA,10,56999.49098038,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.234521,295.651377
182.6356961,39.4058756,0.0299,0.0273,-0.0107,7.397,0.018,60.5,6.739,6.387,0.015,70.9,2.764,1,0,0000,AA,10,56999.62239345,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.200208,297.406602
182.6356995,39.405879,0.0225,0.0238,-0.0106,7.678,0.015,72.6,13.22,6.488,0.015,74.3,4.389,1,0,0000,AA,10,57167.46459285,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.19805,301.814158
182.6356841,39.4058861,0.0225,0.0253,-0.0022,7.558,0.019,58.2,16.36,6.55,0.013,80.8,4.342,1,0,0000,AA,5,57167.59587811,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.247915,301.61492
