ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
137.3814506,-1.2092837,0.2243,0.2655,0.0321,14.837,0.089,12.1,1.585,14.591,0.314,3.5,0.723,1,0,0000,AB,10,56787.20968171,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.125942,195.582172
137.3816164,-1.2091811,0.2871,0.3138,-0.1091,14.845,0.093,11.7,1.057,14.53,0.296,3.7,0.7321,1,0,0000,AB,10,56787.34122177,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.615139,66.220022
137.3814786,-1.2093086,0.2985,0.3271,-0.1262,14.959,0.099,11.0,0.7934,14.563,0.273,4.0,0.5875,1,0,0000,AB,10,56787.47288919,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.221319,162.393922
137.3815158,-1.2093615,0.3159,0.3576,-0.1403,14.901,0.101,10.7,0.714,14.703,0.463,2.3,0.5195,1,0,0000,AC,10,56974.32448854,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.448838,153.419506
137.3814502,-1.2092075,0.3046,0.3309,-0.1218,14.819,0.101,10.8,1.011,14.069,0.289,3.8,0.8181,1,0,0000,AB,10,56974.45602872,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.157024,347.018023
137.3815206,-1.2093259,0.3286,0.4314,0.0948,14.979,0.121,9.0,0.6677,14.6,0.408,2.7,0.9506,1,0,0000,BC,10,56974.58744632,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.349619,141.401693
137.3813632,-1.2093029,0.2252,0.2565,-0.0656,14.572,0.08,13.7,0.9546,13.724,0.226,4.8,0.3791,1,0,0000,AB,10,56974.71898646,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.397052,241.338571
137.3814046,-1.2092163,0.2976,0.3114,-0.0973,14.754,0.099,10.9,1.009,14.109,0.325,3.3,0.7019,1,0,0000,AB,10,56974.78469292,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.23341,301.317951
137.3813654,-1.2093697,0.3052,0.3105,-0.1059,14.727,0.105,10.4,0.6167,13.984,0.265,4.1,0.9399,1,0,0000,AB,10,56974.85052669,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.549201,218.313429
137.3814656,-1.2093209,0.2355,0.2512,-0.0972,14.56,0.077,14.2,1.346,14.182,0.286,3.8,1.686,1,0,0000,AB,10,56974.91623315,1376001601351042152,14.332,0.028,13.635,0.037,11.271,0.168,8.319,,1308977770,16.559,0.125,15.294,,15.257,0.1636,0.256032,175.4849
