ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
178.5127165,0.5314222,0.3258,0.4803,-0.1433,14.974,0.141,7.7,1.343,14.397,0.251,4.3,0.698,1,0,0000,BB,10,56648.48994694,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,1.184575,138.857884
178.5126183,0.5315598,0.2822,0.3003,-0.1172,14.77,0.087,12.5,0.8603,14.504,,1.2,0.891,1,0,0000,AU,10,56648.55578081,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.58202,132.971026
178.5125153,0.5315785,0.4097,0.4266,0.1737,15.081,0.186,5.9,1.076,13.925,0.184,5.9,0.715,1,0,0000,BB,10,56648.62161463,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.333976,170.507619
178.5126045,0.5315753,0.2862,0.3162,0.1058,14.72,0.094,11.6,0.5798,14.886,0.442,2.5,1.15,1,0,0000,AC,10,56648.62174194,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.507681,132.184729
178.5124497,0.5317828,0.2778,0.3023,-0.0976,14.867,0.093,11.7,1.489,14.167,0.209,5.2,0.6873,1,0,0000,AB,10,56648.68757581,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.444619,335.967775
178.5124914,0.531554,0.2623,0.2975,0.0807,14.862,0.094,11.5,0.8086,14.027,0.245,4.4,0.9296,1,0,0000,AB,10,56648.75340963,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.418741,184.239852
178.512527,0.5317483,0.2559,0.2862,0.0768,14.792,0.094,11.6,0.9052,14.344,0.239,4.5,0.6876,1,0,0000,AB,10,56648.753537,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.298169,19.024846
178.5126083,0.5316034,0.2604,0.304,-0.0148,14.743,0.091,11.9,0.767,13.966,,2.0,0.9419,1,0,0000,AU,10,56648.81937082,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.457686,121.590888
178.5124636,0.5314995,0.3166,0.4025,0.1472,14.928,0.117,9.3,1.035,14.696,0.398,2.7,1.172,1,0,0000,BC,10,56648.88520464,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.627629,192.050643
178.5124025,0.531759,0.2758,0.2924,0.0817,14.797,0.094,11.5,1.236,14.312,0.238,4.6,0.4983,1,0,0000,AB,10,56648.95116582,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.475234,312.391699
178.5125749,0.5316265,0.258,0.2935,0.0871,14.772,0.091,12.0,1.487,14.426,0.263,4.1,0.5137,1,0,0000,AB,10,56825.17948302,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.311799,120.147992
178.512578,0.531618,0.2847,0.3555,0.0377,14.96,0.135,8.0,0.4885,14.034,0.213,5.1,1.218,1,0,0000,BB,10,56825.31102277,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.337465,123.691206
178.5128457,0.5318552,0.3171,0.2974,-0.0263,14.807,0.097,11.2,0.4211,14.175,0.205,5.3,0.7931,1,0,0000,AB,10,56825.44256255,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,1.411813,61.819921
178.5124791,0.5317463,0.2553,0.3188,0.0314,14.945,0.097,11.2,1.16,15.11,0.462,2.4,0.6287,1,0,0000,AC,10,56825.50839608,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.2848,344.681989
178.5126939,0.5314985,0.3399,0.32,-0.0421,14.826,0.114,9.5,1.05,14.42,0.231,4.7,1.112,1,0,0000,BB,10,56825.57422961,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.931879,131.493228
178.5125548,0.531579,0.3652,0.489,-0.0623,15.038,0.143,7.6,1.204,14.597,0.286,3.8,0.9922,1,0,0000,BB,5,56825.63993582,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.382411,148.944831
178.5126401,0.5315363,0.2716,0.2784,-0.1208,14.687,0.091,11.9,0.4794,14.267,0.203,5.3,0.8507,1,0,0000,AB,5,56825.70576939,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.697155,133.662202
178.5126308,0.5317608,0.2278,0.2543,0.0679,14.599,0.098,11.1,1.349,14.437,0.246,4.4,0.4383,1,0,0000,AB,10,56825.77160354,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.573205,55.230864
178.5126042,0.5318108,0.28,0.3016,-0.1032,14.861,0.092,11.7,0.8631,14.404,0.261,4.2,0.4797,1,0,0000,AB,10,56825.90314332,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.63058,36.502364
178.5123807,0.5314577,0.2339,0.2954,-0.0369,14.72,0.095,11.4,0.9668,14.455,0.22,4.9,0.6787,1,0,0000,AB,5,56826.03468311,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.876678,209.33235
178.5124345,0.5316242,0.2773,0.2969,0.0906,14.72,0.092,11.8,0.6259,14.832,0.376,2.9,0.9838,1,0,0000,AC,10,56826.03481047,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.287721,235.036186
178.5126181,0.5315635,0.2663,0.3021,-0.1153,14.708,0.087,12.4,1.507,14.594,0.254,4.3,0.6741,1,0,0000,AB,10,56826.16635016,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.572488,132.044677
178.5125492,0.5316012,0.2151,0.2513,-0.0736,14.666,0.077,14.1,0.9773,14.543,0.234,4.6,1.057,1,0,0000,AB,10,57014.15359928,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.304487,144.431991
178.5122877,0.5317033,0.2678,0.2595,-0.1239,14.535,0.088,12.4,1.328,14.612,0.255,4.3,0.7216,1,0,0000,AB,10,57014.28501237,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.773592,278.914789
178.5126392,0.5316362,0.2111,0.2264,-0.0653,14.577,0.069,15.7,1.027,14.303,0.267,4.1,0.5491,1,0,0000,AB,10,57014.41642543,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.515657,103.648763
178.5125069,0.531772,0.376,0.3431,0.1575,14.847,0.118,9.2,0.6618,14.601,0.286,3.8,0.8456,1,0,0000,BB,10,57014.54783852,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.368035,3.869829
178.5125918,0.5317014,0.2434,0.2706,-0.091,14.794,0.086,12.7,1.161,14.219,0.198,5.5,1.115,1,0,0000,AB,10,57014.61354497,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.349268,71.116098
178.5125204,0.53171,0.2667,0.3329,-0.1054,14.749,0.098,11.1,1.043,14.223,0.215,5.0,1.558,1,0,0000,AB,10,57014.67925152,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.161648,27.020583
178.5125342,0.5315533,0.2585,0.2914,0.0969,14.921,0.093,11.7,1.284,14.729,0.272,4.0,1.031,1,0,0000,AB,5,57014.74495807,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.437789,163.666961
178.5124723,0.5315588,0.1962,0.2259,0.0578,14.623,0.073,14.8,0.6424,14.563,0.285,3.8,0.6815,1,0,0000,AB,10,57014.87649847,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.412548,193.987161
178.5124715,0.5316274,0.2296,0.2877,-0.0491,14.663,0.085,12.8,0.7342,14.182,0.185,5.9,0.7228,1,0,0000,AB,10,57015.00791156,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.184518,213.78194
178.5124945,0.5316707,0.1977,0.2407,0.0538,14.699,0.078,14.0,1.012,14.226,0.212,5.1,1.011,1,0,0000,AB,10,57015.13932462,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.019919,277.253504
178.512681,0.5316243,0.2182,0.264,-0.051,14.519,0.094,11.6,1.111,14.052,0.226,4.8,0.7875,1,0,0000,AB,5,57183.9937958,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.67202,104.170818
178.5124477,0.5316108,0.3025,0.3235,-0.1344,14.751,0.105,10.3,0.6626,14.013,0.204,5.3,0.5877,1,0,0000,AB,10,57184.12508098,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.284369,221.457634
178.5123493,0.5315273,0.2464,0.2641,0.108,14.674,0.09,12.1,0.9651,14.079,0.157,6.9,0.9788,1,0,0000,AB,5,57184.25623876,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.747134,226.56064
178.5124857,0.5315426,0.1975,0.2244,0.0693,14.716,0.077,14.1,0.8469,14.021,0.153,7.1,0.9118,1,0,0000,AB,10,57184.25636612,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.461519,186.404079
178.5125741,0.5316533,0.2334,0.2348,-0.0812,14.55,0.073,15.0,1.304,14.361,0.263,4.1,0.6627,1,0,0000,AB,10,57184.3875239,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.273445,102.70115
178.5125875,0.5316248,0.2506,0.2995,-0.0694,14.826,0.12,9.1,1.025,13.683,0.125,8.7,1.104,1,0,0000,BB,10,57184.45310285,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.35453,117.32059
178.5126777,0.5315296,0.2496,0.2382,-0.1115,14.593,0.078,14.0,0.7746,14.135,0.179,6.1,0.8786,1,0,0000,AB,10,57184.51868178,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.815277,128.313309
178.5124667,0.5317947,0.4687,0.4645,0.2584,15.124,0.186,5.8,0.364,14.39,0.246,4.4,0.6521,1,0,0000,BB,10,57184.58426062,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.46465,345.049182
178.5124956,0.5317163,0.2064,0.2433,-0.0743,14.591,0.079,13.8,1.325,14.052,0.192,5.7,0.3833,1,0,0000,AB,10,57184.71554586,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.167419,354.57158
178.5125207,0.5318525,0.2252,0.2714,-0.0322,14.736,0.085,12.7,1.123,14.141,0.194,5.6,0.6477,1,0,0000,AB,10,57184.84683105,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.661214,6.470822
178.512647,0.5316515,0.2156,0.2464,-0.0788,14.601,0.075,14.4,1.125,14.446,0.215,5.1,1.15,1,0,0000,AB,10,57184.97798892,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.533353,97.173288
178.5126248,0.5316364,0.2438,0.2797,-0.0974,14.687,0.085,12.7,0.7758,14.209,0.172,6.3,0.5971,1,0,0000,AB,5,57376.14922752,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.46526,105.069107
178.5125787,0.5317104,0.2464,0.2667,-0.0885,14.737,0.084,12.9,1.099,14.284,0.186,5.9,1.524,1,0,0000,AB,10,57376.28038617,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.318454,62.825672
178.5125507,0.5316939,0.3089,0.3383,0.0709,15.089,0.113,9.6,1.102,14.425,0.213,5.1,0.5671,1,0,0000,BB,10,57376.41154476,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.201783,64.75984
178.5123277,0.5315748,0.283,0.303,0.1557,14.802,0.119,9.1,0.8774,13.959,0.138,7.9,1.119,1,0,0000,BB,10,57376.54257604,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.70864,241.077224
178.5125197,0.5315171,0.3105,0.3579,-0.1423,14.954,0.109,10.0,0.7099,14.199,0.197,5.5,1.222,1,0,0000,AB,10,57376.60815538,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.554993,172.658634
178.5125351,0.531836,0.2864,0.3231,0.0804,14.75,0.116,9.4,2.145,14.27,0.2,5.4,0.521,1,0,0000,BB,10,57376.67373473,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.610809,11.938595
178.5125613,0.5317057,0.2461,0.2729,-0.0478,14.825,0.087,12.5,1.302,14.137,0.204,5.3,0.9939,1,0,0000,AB,10,57376.73931403,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.255367,59.783187
178.5123768,0.5317096,0.278,0.3537,-0.1197,14.606,0.142,7.6,0.5628,14.127,0.219,5.0,0.9031,1,0,0000,BB,10,57376.87047267,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.465848,287.819608
178.5127211,0.5314544,0.2991,0.3684,-0.1251,14.837,0.109,10.0,1.198,14.067,0.224,4.8,0.8514,1,0,0000,AB,5,57377.00163127,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,1.11172,134.27966
178.5125981,0.5317106,0.3762,0.4031,0.0873,15.025,0.123,8.8,1.209,14.654,0.267,4.1,1.094,1,0,0000,BB,10,57377.13266256,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.382201,67.516254
178.512744,0.5315801,0.2417,0.2651,-0.0659,14.743,0.085,12.8,0.684,14.523,0.223,4.9,0.6573,1,0,0000,AB,10,57377.13278992,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.936087,110.226747
178.5124587,0.5316955,0.2491,0.3027,0.0613,15.012,0.1,10.9,1.019,14.22,0.161,6.8,0.9512,1,0,0000,AB,10,57542.78957208,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.174735,301.693671
178.5126459,0.531708,0.2774,0.3261,-0.1206,14.811,0.093,11.7,1.291,14.642,0.285,3.8,0.5681,1,0,0000,AB,10,57542.92060277,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.542738,75.400907
178.5122773,0.5316243,0.2484,0.265,0.0332,14.643,0.091,11.9,1.183,14.455,0.29,3.7,1.095,1,0,0000,AB,5,57543.05163345,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.818394,258.402909
178.5126701,0.5316687,0.268,0.2879,0.131,14.742,0.097,11.2,0.6276,14.267,0.169,6.4,1.1,1,0,0000,AB,10,57543.18266403,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.612354,90.437896
178.5125841,0.5317185,0.2307,0.2922,-0.0575,14.829,0.09,12.0,1.052,14.273,0.254,4.3,0.6015,1,0,0000,AB,5,57543.24824303,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.349484,60.027123
178.5125029,0.5315232,0.2292,0.2835,-0.0173,14.891,0.09,12.0,0.688,14.42,0.197,5.5,0.3339,1,0,0000,AB,10,57543.31369471,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.528585,178.868331
178.5125029,0.5316382,0.221,0.2377,-0.0422,14.53,0.082,13.3,0.5755,13.979,0.189,5.7,0.5314,1,0,0000,AB,10,57543.37927428,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.114962,174.789549
178.5124882,0.5315546,0.2626,0.3217,-0.0461,14.761,0.097,11.2,0.932,14.17,0.164,6.6,0.5046,1,0,0000,AB,10,57543.44472593,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.417601,185.838126
178.5125797,0.5315464,0.3037,0.3329,0.1338,14.914,0.116,9.4,0.8281,14.214,0.163,6.6,0.6459,1,0,0000,BB,10,57543.44485324,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.529442,147.186309
178.5125708,0.5316482,0.2541,0.3056,-0.1149,14.934,0.099,11.0,1.336,13.843,0.151,7.2,0.3699,1,0,0000,AB,10,57543.51030492,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.266677,107.114795
178.5126905,0.5316344,0.3305,0.3057,-0.173,14.774,0.094,11.5,1.361,14.342,0.284,3.8,0.7192,1,0,0000,AB,10,57543.64133551,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.697643,100.585593
178.5122355,0.5313855,0.4639,0.4169,-0.0687,15.114,0.163,6.7,1.829,14.637,0.265,4.1,0.6022,1,0,0000,BB,5,57543.77236615,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,1.398424,222.912416
