ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
215.647323,-2.169703,1.707577,142235.35-021010.9,918,52404,311,215.64733189525097,-2.169705833315564,1.7056815788013155,39627733986184217,59368.20461077,18.634445190429688
215.767765766027,-2.043247377984983,2.823,142304.26-020235.6,4032,55333,780,215.76777653274024,-2.0432528475855403,2.812041090633893,39627740030173668,59368.20461077,0.0
215.3274257273574,-1.9172294707550823,2.176,142118.58-015502.0,4032,55333,696,215.32741635066063,-1.9172170306982377,2.1774082577706024,39627740021786210,59368.20461077,20.621240615844727
215.649545,-1.86978,0.666809,142235.89-015211.2,918,52404,355,215.64953724459497,-1.8698018231924127,0.6663416138693303,39627746065779699,59368.20461077,19.395368576049805
212.70926245776013,-1.6421131388076409,2.668,141050.22-013831.6,4035,55383,640,212.70926968139256,-1.6421292653436437,2.663226608052662,39627746015449025,59368.20461074,19.5590877532959
212.277954,-1.289035,0.621189,140906.70-011720.5,916,52378,372,212.27791944698,-1.2890461720514976,0.6219074632482934,39627758090846762,59366.20561277,19.12980461120605
212.3109334262004,-1.9271592364717245,2.8710000000000004,140914.62-015537.7,4035,55383,562,212.31093406446547,-1.927182709139255,2.8663566340164315,39627739971454020,59366.20561277,0.0
212.082112,-2.044054,0.580739,140819.70-020238.5,915,52443,621,212.08210472273456,-2.044059708558371,0.5807264932823087,39627739967260410,59366.20561277,18.733686447143555
212.40931008376967,-1.4197772411806822,2.432,140938.23-012511.1,4034,55635,282,212.409309919492,-1.4197897999680322,2.4262735617072897,39627752051051660,59366.20561277,18.79369354248047
213.9593030685744,-1.7679476412116817,2.2430000000000003,141550.23-014604.6,4035,55383,886,213.9593263707,-1.7679607576816243,2.2514740935520443,39627746036420940,59368.20461074,0.0
214.1886713306604,-0.9848558007804252,2.461,141645.28-005905.4,4031,55604,416,214.1886756203064,-0.9848473638853984,2.4662490459604296,39627764160008273,59368.20461075,19.174650192260746
213.175364,-1.6384470000000002,1.847923,141242.08-013818.4,916,52378,558,213.17536332438272,-1.6384368520622865,1.84695842289062,39627746023838059,59368.20461074,19.421878814697266
213.388388,-1.419925,0.679333,141333.21-012511.7,916,52378,578,213.38838906796624,-1.4199210425120636,0.6793201775968603,39627752067828959,59368.20461074,19.12750244140625
213.001531,-1.684292,0.746775,141200.36-014103.4,916,52378,507,213.0015319299929,-1.6842848761908875,0.7469020463510608,39627746023833675,59368.20461074,20.26692008972168
213.19697650285875,-1.3001726368822764,2.362,141247.27-011800.6,4034,55635,121,213.19698265201424,-1.3001641510446107,2.3593454426684803,39627758103433670,59368.20461074,20.18217658996582
212.890557,-1.337494,1.309699,141133.73-012014.9,916,52378,454,212.89056138985265,-1.3374824543456816,1.3107028432534202,39627758099238379,59368.20461074,19.17447280883789
213.2162432124628,-0.7926318280228493,2.299,141251.89-004733.4,4034,55635,138,213.21625826456017,-0.7926435543408573,2.300882563912116,39627770183029944,59368.20461074,20.888383865356445
213.538748,-0.8689,0.820973,141409.29-005208.0,304,51957,300,213.5387473586,-0.8689019899517371,0.8207816623617822,39627770191414357,59368.20461074,18.25253295898437
213.867707,-1.087487,0.379796,141528.24-010514.9,303,51615,54,213.86769409792944,-1.0874847499386582,0.380303653407027,39627764155812567,59368.20461074,20.189424514770508
213.61477756786297,-1.031552395012822,1.86,141427.54-010153.5,4035,55383,870,213.61478564508727,-1.0315574773699936,1.8607295035998537,39627764151618234,59368.20461074,20.685998916625977
213.98016579260096,-0.5928046421798979,2.275,141555.23-003534.0,4031,55604,472,213.98014836550405,-0.5928056327415122,2.2742828019585484,39627776235411203,59368.20461075,20.495859146118164
220.09134,-1.940839,0.717601,144021.92-015627.0,919,52409,627,220.09135082329075,-1.940839853519404,0.7168692393907065,39627740101478721,59365.23803646,17.73682975769043
220.2523652949836,-2.010666157469212,2.8280000000000003,144100.56-020038.3,4026,55325,216,220.2523502875097,-2.010660509775714,2.818494912392084,39627740105670734,59365.23803646,19.84596443176269
219.89245,-2.039466,1.075208,143934.18-020222.0,919,52409,61,219.89245457431,-2.039471118105558,1.0742343100761238,39627740097285138,59365.23803646,18.917644500732425
220.386635,-2.089582,1.70366,144132.79-020522.4,920,52411,277,220.38662556912297,-2.089571473048069,1.7023150168080858,39627740105673995,59365.23803646,19.218393325805664
220.20984437304057,-1.7889299322082903,2.389,144050.36-014720.1,4026,55325,818,220.2098571632956,-1.7889210486358142,2.3889842666129693,39627746141280394,59365.23803646,0.0
220.30529934787089,-1.6292546277007955,2.716,144113.27-013745.3,4026,55325,820,220.3052984398349,-1.6292692617680633,2.7072574733509542,39627746145469918,59365.23803646,18.81494903564453
220.595301,-1.630832,2.100145,144222.87-013750.9,920,52411,396,220.5953006257555,-1.6308311235832391,2.094305236126835,39627746149664873,59365.23803651,20.11494445800781
220.56307200000003,-1.793355,0.82557,144215.13-014736.0,920,52411,383,220.5630794472852,-1.7933628012007603,0.8235962216754079,39627746149664149,59365.23803651,18.95498275756836
221.1192738610609,-1.6876872996484156,2.625,144428.62-014115.6,4023,55328,504,221.1192669269472,-1.68767957652056,2.609118719447869,39627746158054765,59365.23803651,19.39494514465332
220.933302,-1.440969,1.758515,144343.99-012627.4,920,52411,437,220.93330175778385,-1.4409800432997335,1.7567447688981983,39627752193659493,59365.23803651,18.417320251464844
