Object,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,Off spectrum 4000A flux,Redshift
115412.54-000153.2,0.2923961836223151,0.0531117442578371,51943,59336.16877533,16.877063897582634,0.731051
122029.31+331025.4,0.4278650806633374,0.0965261951416222,55590,59291.35192347,2.920487716733978,0.7306934
082740.47+321212.8,0.2116663909436147,0.3172194948767266,55589,59293.17628304,1.043073772893289,0.731
143334.60+331303.7,0.2230120268902755,0.197988209336335,55649,59323.30397987,1.5370139265616405,0.731
172614.91+584531.6,0.1442729367390957,0.1050926946585852,52017,59314.41581073,4.280733469177433,0.7320810000000001
124754.90+565715.4,0.4083430635639719,0.2141036149380114,56426,59308.28495265,1.4190972048366808,1.123
160557.96+430039.8,0.3618358976768905,0.0925262169814346,57897,59319.40428328,4.610832688564636,1.1225053071975708
122527.96+570140.0,0.2483819632631736,0.4351274476602993,58135,59307.31280321,0.5681796774396434,1.1200101375579834
165216.75+351743.3,0.5116431019767314,0.3077571945795258,58250,59312.45872123,0.6417385690208001,1.1220344305038452
155326.23+430841.1,0.3222529698424577,0.1239615914782364,52764,59340.38316712,3.950943733982608,1.122574
113115.72+533548.9,,,57049,59307.39542858,,1.7150378227233891
162847.77+310340.3,,,58255,59377.32968669,,1.721061944961548
113345.99+503858.4,,,57064,59308.27622282,,1.7102611064910889
161056.00+424526.0,0.042200424033377,0.1276317529091246,57900,59312.38316149,2.3317561347583995,1.2017083168029783
164336.53+334407.9,0.341140569784655,0.1548684749133056,52767,59324.48774221,3.4341462645760763,1.203417
113706.46+545548.5,0.4044834274763295,0.2732294373174208,57131,59308.25597082,0.9292624004191906,1.2024805545806885
122550.34+452422.3,0.5221531270064093,0.2016763367997329,56777,59335.3873082,1.875316043571729,1.067
155239.78+425450.6,0.4554633187004892,0.2199883342633576,57843,59342.35957591,1.208108751013779,1.0672111511230469
122101.16+445336.7,0.1639944957235382,0.2540810611164333,56370,59335.38730822,1.267678974240488,1.0659999999999998
145454.48+360242.5,0.0671457848737818,1.4342289103728605,58220,59348.45952603,0.7749667316008746,1.0632866621017456
115139.68+565754.9,0.1380842305674244,0.2222230173870825,57450,59307.35829042,0.9738076940668208,1.0667800903320312
142010.24+524029.6,0.997321711520523,0.3237093752632616,57428,59312.3141095,1.070408555177825,0.5479923000000001
162054.43+442258.1,0.0134927137222182,0.3003690296820016,57900,59316.45961604,2.4483302667729427,0.5485043525695801
