Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
2869,149.55459225151344,0.8880426369334146,1.751,095813.10+005316.9,3828,55539,878,149.5545963609899,0.8880502041082536,1.750172944380778,39627811396256883,59198.43399897,20.36338996887207,0.15695020410825367
8539,213.44097628759843,0.8881909343926478,2.324,141345.83+005317.4,4030,55634,370,213.44098643560227,0.8882099504636333,2.3274791830365817,39627812465807739,59346.25856125,19.85446548461914,0.1571099504636333
16109,216.70325,0.88979,0.219829,142648.78+005323.2,305,51613,550,216.7034148305637,0.8895966961288303,0.2195226477301748,39627812520334499,59342.34510434,0.0,0.15849669612883033
2586,39.30185111579033,0.8941192652063868,1.372,023712.44+005338.8,6781,56274,838,39.30182772110936,0.8941421952165884,1.3718380004595192,39627809546569287,59220.10123123,0.0,0.16304219521658847
20285,219.30437755107047,0.8949097883643914,2.929,143713.05+005341.6,4025,55350,872,219.3043863992812,0.8949114995535352,2.9239345749903443,39627812566467714,59312.35285274,19.670379638671875,0.16381149955353524
20900,183.38017067302016,1.095621843285382,3.299,121331.24+010544.2,3845,55323,910,183.3801531741788,1.0956131184487077,3.298083240812681,39627811962489575,59310.21218791,0.0,0.02608688155129224
21064,148.931044,1.093827,0.642885,095543.45+010537.7,481,51908,54,148.93101702084513,1.0938429896861512,0.6422666275378027,39627811383676094,59315.14688553,20.009973526000977,0.027857010313848685
21046,149.09109943516418,1.0898182220001738,2.396,095621.86+010523.3,3828,55539,758,149.0911138770561,1.0898049024198948,2.388518489260614,39627811387868815,59312.12678917,0.0,0.031895097580105114
20304,218.65215621543587,1.0895247185932573,2.196,143436.51+010522.2,4025,55350,708,218.6521502061321,1.0895259409906644,2.196040641497949,39627812553886661,59312.3322896,19.691282272338867,0.032174059009335565
16461,150.332068,1.0838299999999998,1.111456,100119.69+010501.7,500,51994,9,150.3320685589007,1.083830667523196,1.1076197200890343,39627811408840354,59330.13318189,18.88231658935547,0.03786933247680402
20338,217.9349415028024,1.7276598692089882,2.481,143144.38+014339.5,4024,55646,314,217.9349155469286,1.7276708425177747,2.4790857848508243,39627830660698087,59311.34644745,21.011552810668945,0.009570842517774736
20259,216.6909143371,1.708229209166486,3.756,142645.81+014229.6,4024,55646,486,216.69090754076169,1.7082136103865564,3.7619982341100986,39627830639726779,59312.33228952,20.134654998779297,0.00988638961344357
2637,38.579007160753406,1.7307807916768998,1.89012610912323,023418.96+014350.8,7824,57282,311,38.57899002532165,1.7307510807425703,1.8897691073476512,39627827653381173,59220.10123124,20.45221519470215,0.012651080742570375
16140,218.333661,1.7310580000000002,1.726071,143320.07+014351.8,536,52024,304,218.33365543892327,1.7310476196737978,1.72178851265771,39627830669084917,59335.34267588,18.32733154296875,0.012947619673797872
16143,218.19333930584023,1.7007340539396385,0.608,143246.40+014202.6,4024,55646,234,218.19332247830155,1.7007210148402565,0.6085863463774287,39627830664893225,59337.380084300006,18.649751663208008,0.017378985159743454
2557,37.01803493125078,1.2416105895295848,1.218,022804.32+011429.7,4238,55455,703,37.01802434316147,1.2416077668530792,1.2206344470637067,39627815548617545,59220.10123125,20.726036071777344,0.03880776685307907
16137,217.95589500000003,1.241639,1.095804,143149.41+011429.9,535,51999,83,217.9559060723109,1.241648639727912,1.0930044337852425,39627818581103604,59321.35899580001,18.13343048095703,0.03884863972791197
20930,182.0705010682028,1.2423589718973094,2.137,120816.92+011432.4,4748,55631,170,182.0704899908741,1.2423734788391794,2.1401356144321766,39627817981314380,59322.16590197,20.637279510498047,0.03957347883917928
2571,37.81650585567832,1.247625871238051,2.279,023115.96+011451.4,6370,56238,904,37.81651414031889,1.2476288462842964,2.2770059691822984,39627815561202226,59220.10123121,0.0,0.044828846284296286
2601,38.26023296706592,1.2488155987975162,1.25,023302.45+011455.7,6781,56274,581,38.260237363366286,1.2487799664799664,1.2555668564532094,39627815569588651,59220.10123124,0.0,0.04597996647996627
20931,182.6804917348378,1.0817556558531385,1.393,121043.31+010454.3,3845,55323,752,182.6805027942952,1.0817608844514566,1.3889137580548585,39627811949908477,59312.19257058,20.60493850708008,0.014660884451456635
2859,150.286195,0.958544,2.044296,100108.68+005730.7,500,51994,6,150.28619215868252,0.9585368374187748,2.0413140439367723,39627811408839433,59198.43399897,19.729093551635746,0.10856316258122511
8540,214.39284664496492,0.9583494713912388,2.401,141734.28+005730.0,4031,55604,562,214.39283486927968,0.9583512405349548,2.402260273955336,39627812482583868,59346.25856126,20.25418472290039,0.10874875946504514
