Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
114338.55+564817.9,2.213782235238976,,,,0.11246625079441347,,0.5346165244942698,,,,,,,,,,2.213782235238976,,0.5346165244942698,,4175.116823584998,,0.73048996925354,0.7309492681689903,0.21036807813002595,,0.02656344577209252,0.04300163810641092,,,,
122523.45+580846.3,3.104414304794484,1.6566429420146052,-2.350436060748107,1.254289192225823,0.12437257681300451,0.0663703137945286,0.2965821128260796,0.1626326649973277,2.136467017608319,1.1767315464744863,-3.4445835092909056,1.8972209944930243,0.10255218643977082,0.05648408889490056,0.3727774474738982,0.2092456352649589,2.758975223110454,0.76247343599116,0.3346797801499889,0.13250765978007575,2188.609246535001,1253.1444063050003,0.7320503,0.7309383787566023,0.4193529260004245,0.27510297936398503,0.0357836598392583,0.05102242926572387,0.007885824792682669,0.024597519923010236,0.04210909882506768,0.010743262967721968
095209.81+331752.0,2.3828820447769057,1.271270265272597,-3.035757251895444,1.6195799264926056,0.10347941777912573,0.055206386391920326,0.39379895405450077,0.216213478552803,2.372477108730462,1.4121567582111554,-2.379403270251271,1.416279379990763,0.16504319336590462,0.09823777015624371,0.7538799472438906,0.5083394136129666,2.5426299189135206,0.7176002202485602,0.5738394506491957,0.27620518991334964,888.8289660749942,933.7641493300034,0.73179704,0.7313494091052853,0.26277220067172763,0.21892503437621064,0.024298320743209645,0.0394939501471937,,0.05018107200253302,0.07401014667948974,
160344.93+450146.4,7.46916247065947,3.285149255118321,-2.386885817855597,1.0498200028963185,0.15977625594792466,0.07027412380903467,0.3539424012767428,0.16428334007900014,2.2531232341755585,1.7909992630594411,-1.516411417455535,1.2053897851493058,0.08721931979660796,0.06933031230199416,0.3170423006431824,0.2605871810803732,3.40639573503654,1.0171949960954954,0.3354923509599626,0.1540249125717392,3445.872339829999,2187.5064605850057,0.7304642200469971,0.7313592231561612,0.4514188053524498,0.2751031001846331,0.031509484636414564,0.05159889951584788,0.005439887041302639,0.01818753893130709,0.04401960397163796,
112934.69+503103.4,5.964809076509382,1.3873560400748763,-6.202728680532935,1.442693804529772,0.246112742556427,0.05724340805303142,0.8569473529714942,0.23182827946093024,1.960699846147805,1.1372425618501845,-3.6202603138269724,2.099818655032819,0.2835654574531386,0.16447326597174472,1.1737027999779006,0.7798987103858778,4.4371244792542734,0.7789689188306969,1.0153250764746975,0.4068127178504165,1826.7569857499984,573.8951739499971,0.7314494252204895,0.7313765681377487,0.2871970392382014,0.24159902954860274,0.038420400787904985,0.04907441621672595,0.013920670148326701,0.03922315440129842,0.061909760212557584,
095656.19+021315.1,3.150387389919885,1.4627108497528447,-2.951225583621935,1.370240909116181,0.1266056597092174,0.05878244456199978,0.43218898114181015,0.21040821022744408,2.214069769939278,,,,0.12220872570408975,,0.40216735091187483,,2.7718942478270328,,0.4171781660268425,,2190.9936844399926,4208.060347470004,1.121638,1.1216972783520822,0.29294050804982336,0.30387530322139156,0.020492371711698543,0.04154334040356119,,0.02853374074060916,0.049072131620839676,
144102.63-013845.8,2.8763544100108414,1.1736338809005564,-4.682005968659641,1.9103907419311628,0.17201162321141283,0.07018560306998253,0.24795805717767594,0.10202255256656101,2.1645932911905215,1.196411772207635,-3.2956089193694136,1.8215455641357272,0.15621943011182315,0.08634544234892136,0.22461542478876118,0.12508951686803507,3.254640647307604,0.7816824260910548,0.23628674098321856,0.08070933722698251,3106.566931229994,3837.680062890002,1.125569,1.12165363060735,0.6937125785275725,0.6954973384340777,0.04050345619336981,0.05753670759332901,0.011336922909264295,0.04424893288002718,0.06484180299978451,0.01499209412789266
135652.64+040036.9,6.022461389580576,2.0611149867192835,-3.341588582804477,1.1436185077722882,0.18729326560674353,0.0640988678352555,0.20005176960817117,0.06950494088780995,3.7162641612874823,2.0043687086113997,-2.139357555847816,1.1538634379497794,0.17798417149426482,0.09599584111578241,0.19014548087606148,0.10393820546709194,3.8049179223800875,0.8255662084781556,0.19509862524211632,0.0625181720852773,1458.8913790399965,934.5071103849987,1.121194,1.1218722981304416,0.9362239882885469,0.9360420803809505,0.03669968150904768,0.05314902586265808,0.016070674756221336,0.048930333008101456,0.06687080241599568,0.018977497804247345
114302.72+550813.1,2.5577152224557422,1.32811505711843,-2.9264215626792907,1.5195689132032226,0.12226393282576653,0.06348657141451038,0.5324990003151999,0.2929904230821092,2.046115291854963,,,,0.12711985270427756,,0.5509572348172691,,2.510084025663332,,0.5417281175662345,,1095.5208825149966,4002.4897167299932,1.1219321489334106,1.1219665802579732,0.2296040607651758,0.23072544413803409,0.02825740333440553,0.044649295014210263,,0.027519992649414127,0.06487710832735079,
123401.05+623314.7,3.805415749913544,2.0158611389126544,-2.1740987544213333,1.1516957618352064,0.07762097029957671,0.04111852892687611,0.3043685363894269,0.16677014932454065,2.5096948872644247,1.3729276559289305,-2.6678805524629152,1.4594630653225587,0.10290496621149309,0.05629412354510863,0.4086402284661747,0.23214378274917352,2.7892724860155544,0.7666918402568363,0.3565043824278008,0.14291869941930715,1253.5716244150026,1095.018643794996,1.122894,1.1219925939604516,0.255022977145916,0.2518228971184394,0.018506733613104953,0.03906259766447184,,0.02367743433163766,0.03857180416735449,0.005760183313398594
