Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV Flux Diff On-Off,Median UV Flux Diff On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
114338.55+564817.9,1.0744527790527674,1.0993883009846148,-2.3521949535014266,2.406783866103732,0.05885632965881418,0.06022224664246167,0.32478374413269445,0.33979395495645964,,,,,,,,,1.713323866277097,1.3229950126964827,0.32478374413269445,0.33979395495645964,,,57430,59307.35829040001,55327.5148802,60267.033465454995,,,20,8,0.1812169812130982,0.03954271705861382,0.08106979268730405,,,,0.026843150795855433,,13,5
122523.45+580846.3,-1.1980116540086598,1.4395085343527019,1.156980969644545,1.3902068267150163,0.0423727078466547,0.05091425810825395,0.10225812860277175,0.1236223901076735,-1.3425735994543258,1.0892791996922606,3.1085991101331607,2.5221204649236206,0.06761962122362841,0.054862278626590516,0.25036677520325146,0.20808877869068437,1.701541333310173,0.8497235085598451,0.1763124519030116,0.12102007597183455,,,58135,59309.26965074,55332.874077500004,60430.22165964,55332.874077500004,60429.869187585,23,23,0.41437006940792154,0.055130440424324606,0.037947733494534286,0.27008224701034633,0.04870433176310901,0.028518584380006765,0.03585902892634679,0.024597519923010236,1,6
160344.93+450146.4,1.5126470157157814,1.4053697325861954,-1.5318668385036995,1.4232264810087802,0.05997520204499113,0.055721746570126025,0.13358991387875152,0.12472859792730415,1.2139069059826115,1.3976211944005743,-1.243255344570387,1.431411264784626,0.03683353041878906,0.04240796598502527,0.13637917082486883,,1.3754190261931198,0.7072358567649145,0.13498454235181018,,,,57897,59311.38455027,55225.342293249996,60499.98780242,55225.342293249996,60338.65056692,25,24,0.44895007642138046,0.04150375252769278,0.050355381960508816,0.2700817888538771,,0.036983513883499075,0.0315339484342716,0.01579975225909297,0,2
112934.69+503103.4,3.694256482149297,1.8654407387083825,-2.3459171007637316,1.1845873047913804,0.15904948783170636,0.0803131551654885,0.6560732378896886,0.34064906371647585,-1.388660146404262,1.074318658511207,3.53679024370315,2.736191255930632,0.1723020531178751,0.13329921726610458,0.7863126193250844,0.6607012985270971,2.74140599325511,0.9193754470210453,0.7211929286073866,0.3716745856546772,,,57064,59308.27622285,55330.12676425,60427.42843678,55330.12676425,60427.71698458,23,18,0.24242642230507924,0.029304650553728544,0.026418961130028427,0.21912665380566715,0.07184902720503474,0.14462461350739678,0.03856550013164661,0.028346026301453192,5,8
142741.21+332937.3,-1.6032843647273856,,,,0.05193006744765255,,0.27761262633648814,,,,,,,,,,1.6032843647273856,,0.27761262633648814,,,,55269,59311.33460277,55209.1674089,60480.94634279,,,24,19,0.18705945811236,,0.03890956043146729,,,,0.02427804638309365,,9,12
142030.56+513909.1,1.8902603495031733,1.5236711637247597,-1.6442805210834035,1.3253956343672952,0.11049421542639068,0.08906542945146845,0.5833916553121411,,,,,,,,,,1.7672704352932884,1.0097335543060664,0.5833916553121411,,,,57835,59231.5316127,55364.329408100006,60301.65248407,,,15,8,0.18939971873144335,,0.1158764943850432,,,,0.039821335579976386,,11,5
161501.19+424846.9,-0.20401609348626482,1.3115070209438133,0.24042681275958885,1.5455714672753162,0.0076558875286774075,0.049215481356585156,0.024146270709160318,0.15524471667202044,0.6732774278056767,1.6618675405230028,-0.507242101337914,1.2520383850495864,0.02425340245327673,0.05986528081849608,0.089139997387074,0.22013802537841567,0.40624060884736113,0.7262164650743795,0.05664313404811716,0.13468636927328975,,,57898,59312.44716139,55231.1652746,60506.114304015,55231.1652746,60505.92316997,24,24,0.31706293782969186,0.03404382678366627,0.04525182683028872,0.2720821535136556,0.021386721517149668,0.05683100874828617,0.014838098890742502,0.018353071682833566,0,2
141945.05+512241.4,-0.4652384142963885,1.3753931733702736,0.4926796559980011,1.4565182381658843,0.01431314506632858,0.0423142230064117,0.05322783471704489,0.15789039665583232,-1.6171766588257306,1.1722450355899945,2.643806712592472,1.9164197535143883,0.08825377929796435,0.06397263656353713,0.4448746416394284,,1.3047253604281481,0.7524948029134878,0.24905123817823666,,,,57835,59231.53161272,55364.4947561,60460.79652068,55364.4947561,60302.33036849,24,23,0.2689033875305311,0.06542053757101345,0.03227177144106247,0.19837898373513987,,0.06426200194343062,0.019963738378459245,0.020546675498641698,1,18
153722.08+425656.6,-0.006586589897308282,1.6632283458473418,0.004955926784061982,1.2514575881769288,0.0002008386920346883,0.050715257932106794,0.0010210991346931864,,,,,,,,,,0.0057712583406851325,1.0407298671408085,0.0010210991346931864,,,,57903,59338.37569314,55219.718723800004,60332.10692197,,,22,11,0.19668873002721238,,0.05289779816307133,,,,0.022064235195332932,,8,8
115634.41+524502.1,0.9678365881192511,1.5145232369723254,-0.8508866559740232,1.3315136339354332,0.023701559708494635,0.03708948739038493,0.08286805473388821,0.12994050719791622,1.8454293637757293,1.3355275977076175,-2.0846867265640348,1.5086769022709527,0.08633694048897778,0.062481593166349346,0.4328138611039611,0.3159962308561563,1.4372098336082595,0.7126731873889335,0.25784095791892464,0.17083482763048416,,,57423,59308.26450978,55333.0712601,60430.4776089,55333.0712601,60272.00970816,23,19,0.28601563997859936,0.028578130428874235,0.033699447259385285,0.1994782243543716,0.01924518398393532,0.040076079214268076,0.021163038351292796,0.03170298584879255,4,16
162510.77+325758.8,1.5722206177152305,1.290266730343298,-1.9282876714055774,1.5824785662468699,0.04316445540457764,0.035423565951480884,0.15971521903498254,0.13232647079956972,0.39500994455488375,1.2443150587926881,-0.5334466589532725,1.6804025315012734,0.019557126542227243,0.06160661876659749,0.09589798712374434,0.30228925958870856,1.107241223157241,0.7306289790941978,0.12780660307936342,0.16499173565436467,,,58256,59308.48025929,55241.85280685,60517.781809039996,55241.85280685,60518.35540253,24,24,0.2702588749236433,0.030750092173791543,0.03730714366941629,0.20393677832873824,0.023521027460343097,0.12221256486208332,0.023254908112431416,0.016832321291299523,1,12
144939.94+350619.8,-1.821293385464433,1.2433449051368273,2.4650217550877103,1.6827998524017023,0.08031905267021222,0.05483152012736228,0.4327519080901595,,,,,,,,,,2.1431575702760717,1.0461503114243307,0.4327519080901595,,,,58220,59354.27372677,55213.20308495,60118.89267338,,,22,9,0.1856006898379257,,0.07110685682841696,,,,0.029283128485543583,,10,5
083901.00+232352.4,-0.2365254647388602,1.2114690884527055,0.3458708978017319,1.771529766339535,0.009458378124752087,0.048445239237497745,0.03230365040847365,0.16565935683482388,2.0142962339160895,1.4466889797949096,-1.9267764908422675,1.38383136943577,0.12373289037157342,0.08886627792115694,0.4499102875377139,0.3311777350212688,1.1308672718247372,0.7337350223598244,0.24110696897309378,0.1851497466111858,,,58511,59226.35471247,55306.1390192,60403.718801885,55306.1390192,60403.62234336,23,18,0.2927959535579619,0.07413089808432571,0.06922314622424569,0.27501680623651326,0.04435593524528097,0.06918434214059144,0.02860040593480956,0.026920206729494384,9,14
093053.11+314745.2,1.9364497915374212,1.6073397227304227,-1.538833339916886,1.277300328012424,0.09205944590344128,0.07641344738180586,0.21651527535106524,0.18803569078406204,-0.39562895859728253,1.5933095587748696,0.31894824720263193,1.2844946760829303,0.016220074877075108,0.06532282277141024,0.05735317659463399,,1.0474650843135553,0.7247240438253256,0.1369342259728496,,,,58434,59294.18947309999,55316.7921275,60411.69002828,55316.7921275,60411.85072876,23,23,0.42518684076295754,0.10861456256909896,0.0545164065508465,0.2828104010997827,,0.06178447421900794,0.04346851425834941,0.02389640432127732,1,12
161251.11+542252.6,0.15554510057677848,1.8432235047964682,-0.10045683328386801,1.1904225567995108,0.004481341635291347,0.05310430354001915,0.0024844400551511437,0.029440997328097414,1.6646883077448753,1.9143648214025466,-1.0197676169817507,1.1727163835252687,0.0641872418899545,0.07381429741850308,0.036460356948581796,0.042135650843212025,0.7351144646468182,0.7848023293313837,0.01947239850186647,0.025701096258983355,,,56809,59311.39483452,55217.66514195,60490.537615145004,55217.66514195,60490.537615145004,25,25,1.8037632367099794,0.07003978393389065,0.12510254718801694,1.7604666345004394,0.20133327100158305,0.04586403110750137,0.054564537596272,0.043752622408868236,1,3
090952.01+315503.2,-0.283211749779719,1.2136684354153136,0.41179853382712617,1.7647109720730887,0.017007489596855274,0.07288346371720948,0.030636833096021998,0.1313095834836889,-2.8662348433970686,1.9468413231182666,1.7159111399215659,1.1655034902998316,0.08463126593605924,0.057484349592531354,0.19003581041010922,0.1327369359444833,1.31928906673137,0.780055503208769,0.11033632175306561,0.09335590618513341,,,58142,59251.15305477,55312.6240956,60407.57669897,55312.6240956,60407.57669897,23,23,0.5551321033590639,0.04076852320006874,0.03509831931237828,0.4453437789089312,0.07252699643135296,0.022922920884851147,0.036426640274111466,0.03756178395441878,0,5
160629.01+440654.6,-0.5295566667939072,1.4264739158954753,0.5205691045299626,1.4022639985421113,0.015276853644295346,0.04115146613576874,0.09760096650039016,,-0.24640305296284026,1.3907014194056069,0.25495346592133805,1.438960039966125,0.013436997683513974,0.0758385560824641,0.07698514492751089,,0.38787057255201207,0.7073643239560841,0.08729305571395052,,,,57897,59313.41259930001,55227.095866949996,60501.583536455,55227.095866949996,60500.68994351,25,23,0.15652358979697478,,0.05025606207597,0.1745401362323372,,0.09205625224889191,0.020814466173457724,0.03347847429762113,11,15
121105.69+445944.3,1.071988835453787,1.1409477396104268,-1.9514533391492779,2.0769864411088563,0.09556191023460248,0.10170921736220312,0.18336021961860663,0.19602394762941722,0.09586284903408036,1.3058561026866728,-0.11414993172947523,1.5549651035012375,0.0038888682235744265,0.052974664882884395,0.014774505594325527,,0.8083637388416551,0.780176704948261,0.09906736260646608,,,,57787,59335.38730815,55343.6545497,60438.30291032,55343.6545497,60438.30291032,23,23,0.5211703521809332,0.05239081341531193,0.0461782136437503,0.2632147789140255,,0.035978624738525755,0.031141893273367027,0.019965074180889608,6,11
013332.08+245953.1,-2.1098978121403444,1.8590318312679472,1.3463169019617476,1.1862403768180478,0.08983392373771903,0.07915270720466926,0.07706564698748716,,-1.8046680049935813,1.0701338024589975,4.736247810025459,2.808504868655147,0.1372518872441968,0.08138775862645622,0.1471035441529355,,2.4992826322802832,0.9319352020689897,0.11208459557021133,,,,57062,59225.08830371,55213.1813735,60513.72208515,55213.1813735,60513.72208515,25,25,1.1656805236749002,,0.08207883563280305,0.9330290988876754,,0.05082318212962289,0.0497220352514145,0.057979048166339586,0,2
162054.47+434307.5,1.3055085393620687,2.0178201425137323,-0.7448992205130992,1.1513311525549885,0.0273108288038566,0.04221216392509737,0.13199433174848257,0.20461606841740493,-0.26135205354375357,1.1310273537988518,0.4945957948698066,2.1404131533942063,0.02047336515037762,0.08860055123122512,0.11600958899017956,,0.7015889020721819,0.8388143750497596,0.12400196036933106,,,,57905,59311.40505385,55233.580103,60507.741611004996,55233.580103,60142.50479057,24,17,0.2069091031567768,0.02460608877391876,0.051356221935908664,0.17647993867223105,,0.11744397022353259,0.021107708151254595,0.04087802592672407,11,11
020106.36-030041.4,0.44211753824926425,1.191107476714033,-0.6832302140043855,1.840688382189296,0.03121098263888311,0.08408541068960279,0.048450314689202835,0.13054818548054103,1.3059029618783207,1.3098772995930754,-1.5435530851716897,1.5482506786531383,0.06120847152842712,0.06139475117091145,0.14904460612719256,0.1508777643502459,0.9937009498259151,0.7466479025178915,0.0987474604081977,0.09975836870607659,,,57332,59217.19524616,55210.0662913,60509.933151410005,55210.0662913,60509.933151410005,25,25,0.6441853440807163,0.029097073470089968,0.12186020002715303,0.4106721680098418,0.05608956809814952,0.05047285972903992,0.031013007157152828,0.036768887385527416,5,6
114749.54+530005.8,-2.3767449931417124,1.9128707660290254,1.4575294195784398,1.1730603936829727,0.10140746047268645,0.08161555705605306,0.06342840068893378,0.05137518378738776,-0.5031362127173212,1.1291626431993151,0.9594286776637349,2.153196280150619,0.057108553321219224,0.12816577973827273,0.051663459492089656,0.11598573761834649,1.324209825775302,0.8271338975041861,0.05754593009051172,0.06342732226741837,,,57423,59308.26450975,56795.84165174,60428.68036037,56795.84165174,60428.68036037,21,21,1.5987705723499157,0.14570310750384619,0.044707000309742125,1.1053954551758827,0.06525167665609444,0.12935858566815284,0.052817901680267676,0.05037104675519388,2,3
160534.46+433654.5,0.0026672573838798386,1.1729334325002556,-0.00435113175521724,1.9134216051860928,9.873938617691036e-05,0.04342090412848934,0.0004272598344015127,0.18788863887347848,,,,,,,,,0.003509194569548539,1.1221580855955362,0.0004272598344015127,0.18788863887347848,,,57897,59312.38316145,56691.764207715,60340.10133032,,,21,13,0.23109915378593981,0.025069787873648636,0.03617096459415338,,,,0.015698051353203957,,14,12
124822.42+584840.6,-0.5393985799914827,1.226483773173304,0.7595939304104351,1.7271636678465885,0.027353799314949245,0.06219703247078264,0.07565507731397063,0.17214588925115104,0.332644055288705,1.4137596564634647,-0.33285775761646963,1.4146679057608218,0.016339998830087354,0.06944609640652763,0.04690883763922018,0.1994812493232792,0.4911235808267731,0.7283267823932172,0.0612819574765954,0.13174499612665164,,,58487,59308.28495262,56800.31807859,60432.98145566,56800.31807859,60432.98145566,21,21,0.36155933330727075,0.030900957560632658,0.04721074437155515,0.348335189112117,0.050406733385859465,0.06036110597333336,0.02435480832279785,0.03349320211399115,0,3
123807.76+532555.9,-6.584703274418636,1.199866188831516,9.930438158599292,1.809526791142701,0.5397957426193742,0.09836170795431484,0.2594475949282962,0.04746120002582088,-5.234469687928645,1.4101112134964033,5.265060008755776,1.418351924971391,0.2868619856909327,0.07727760916859913,0.16405057151244457,0.04539719800100088,6.7536677824255875,0.7379956764974396,0.2117490832203704,0.03283851052587898,,,58172,59309.27937448,55341.90321545,60436.6691005,55341.90321545,60436.6691005,23,23,2.0805578975151344,0.03353552952761932,0.10141528439062553,1.7486192400687364,0.11068970955593138,0.08721806285515021,0.22632720252854055,0.16785969494722242,1,2
093442.68+325334.5,4.194740360527987,1.6246457190004508,-3.276067610194137,1.2688387744189276,0.12376216701891701,0.04793375931286338,0.4184158343941705,0.16879304389450267,-0.8251181359628227,2.2096850082197412,0.4187441731596377,1.1214063555038787,0.025571740761597905,0.06848169944664811,0.11321328627061669,,2.178667569961146,0.8058258805974693,0.2658145603323936,,,,58224,59294.18947308,55317.1561871,60412.10744205,55317.1561871,60411.52920047,23,21,0.29578748423351087,0.033378097460904865,0.03828924335277534,0.22587225937840105,,0.08560773010922383,0.028921912213136114,0.022357110273851177,4,17
141658.28+521205.1,3.931689189068745,1.3863263291708385,-4.094841613283519,1.4438544018338162,0.20501675764311933,0.07228957208319234,0.374566239436597,0.13798227010954234,3.6924540869344233,1.5208347109988387,-3.2225002424489735,1.327271811519646,0.15900705005631388,0.06549125197652504,0.4471947457426615,0.19198537136257227,3.735371282933915,0.7106865036920614,0.4108804925896292,0.11821324976690163,,,57038,59312.31410948,55362.8410216,60459.70816339,55362.8410216,60459.547845035,24,24,0.5473444642301315,0.05837349782624379,0.0686074598280052,0.3555655596808255,0.043059089868611705,0.07836056799067537,0.1280374425382843,0.07141372257078366,1,1
145954.07+351733.9,-1.1543381561414952,1.5903483923831632,0.9334687194928589,1.2860533713514948,0.06693556961323865,0.09221810347453939,0.10395575907570857,0.14327186629660288,-1.6435280733535254,1.1635899843065565,2.7625572708598303,1.955843665564399,0.12316804192226116,0.08720088344762057,0.2740328047215623,0.1978624739760513,1.6234730549619274,0.7649512802634546,0.18899428189863543,0.12214375370852497,,,55653,59348.45952601,55215.3202789,60488.29767852,55215.3202789,60488.201602185,25,25,0.6438851508408594,0.023562059428534343,0.09229440721869009,0.44946458891083885,0.06372400369730774,0.10092342296586154,0.03920625838612768,0.03542549012660212,0,0
121359.29-002000.4,-2.423759777069426,1.9117757572279874,1.487532936909334,1.1733132275591664,0.0823865570150249,0.06498359446052249,0.2301848035176684,0.1828814825474544,1.03942813263113,1.785305735383022,-0.702811154496937,1.2071376034804915,0.05213426198231785,0.08954500460882134,0.1965608811022479,0.33982471141611115,1.4133830002767067,0.7776586750632508,0.21337284230995815,0.19295496310525295,,,55323,59310.21218797,55368.452981049995,60302.986605565005,55368.452981049995,60303.115790045005,23,19,0.3579148395376201,0.03410232102152757,0.060568915697347014,0.2652321341355731,0.05226696858940725,0.11739609396299597,0.03144031049146212,0.034420466103383784,6,15
123850.21+583400.6,0.8220255507454285,1.9337969621251878,-0.49664270555152434,1.1683410015494742,0.02536319850627039,0.05966636459989203,0.14335846256691223,,,,,,,,,,0.6593341281484764,1.1296671397613363,0.14335846256691223,,,,58191,59307.31280329,55334.428872050004,60431.31320063,,,21,7,0.17692152979411435,,0.06270603401178522,,,,0.027197244065418458,,14,4
142653.5+511907.1,-0.2985746963894577,1.700235093414068,0.21713522074734576,1.2364775943681845,0.006761565864246921,0.0385037704395005,0.0337184687025572,,0.6233504999935304,1.90139359644891,-0.3854532872621848,1.1757404736791048,0.03520400224823983,0.10738206586001127,0.19674176289720569,,0.3811284260981297,0.767192099652825,0.11523011579988145,,,,57513,59314.25563001,55367.6699179,60303.58916917,55367.6699179,60303.13724638,23,16,0.20053003960212837,,0.039688769712706184,0.17893507575528506,,0.07739815987483248,0.01208240843704722,0.02812446460376293,4,11
140640.19-010806.2,-0.2994758548762026,1.7065292868761932,0.21656604404551277,1.2340771073493144,0.013392906278535954,0.07631796162718232,0.018042437015058,0.10281630287596985,0.4142503231210535,2.4202541895641168,-0.18795358964869963,1.0981173396887107,0.0106682527559267,0.062329181141798085,0.026121484330609252,0.15263715120139537,0.2795614529228671,0.8477426108376547,0.022081960672833627,0.09201805809725719,,,55363,59341.22485925,55217.3123629,60490.59077858,55217.3123629,60490.71862571,25,25,0.7423002927685654,0.03498367156396753,0.09298680415768568,0.4084091325325491,0.04105545637828972,0.05470255617418318,0.02790026843513338,0.020200674661943196,3,10
155920.40+421207.2,-2.462656878509232,1.7611777974565859,1.6986881751306235,1.2148228707578288,0.08601105166387701,0.061511108530072744,0.1111666697278849,0.08001499258409986,-2.6498849372765223,1.688878437457772,1.947018762793027,1.2409135051676818,0.08443887896682278,0.05381629970573028,0.12689576281814535,0.08233908188612833,2.1895621884273515,0.7487372096314764,0.11903121627301513,0.05740671442454293,,,57843,59312.38316135,56690.77651031,60500.81715391,56690.77651031,60500.8809502,22,22,0.7737125873646831,0.06300650255589857,0.07221166262992629,0.6654192156741463,0.08103911289702515,0.09232278178135622,0.039669818875288365,0.04072217794344357,0,0
023044.93+011246.0,-1.9707563531383125,2.0677744293258975,1.0888836218418274,1.1424881143581327,0.09354413494238578,0.09814920547598573,0.09040383197368744,0.09493039767700238,-1.4169401729350979,1.48029206435249,1.2982173116925912,1.356261062400967,0.09984359613553573,0.10430763828912785,0.1774291373006787,0.1877850749675164,1.4436993649019572,0.775067692495049,0.13391648463718306,0.10520814462729296,,,55179,59225.15787282,55217.0804798,60519.303559595,55217.0804798,60520.5459945,25,25,1.0347363922539516,0.043494418650655176,0.07651665639056157,0.5627237873920149,0.09536494834345367,0.060763498037016306,0.07229926020611255,0.04334532374985911,7,9
161003.12+543627.8,2.6106188971181257,1.359324573203604,-2.8353467102214047,1.4763382204160762,0.13870221793076398,0.0722209332810931,0.2593471412639836,0.13710864278214302,1.1478925947770495,1.5308774572035608,-0.9903040458617999,1.3207107934011577,0.03704426838421787,0.04940378189216589,0.11785434213973153,0.15775249170405617,1.896040561994595,0.7121797800220823,0.1886007417018576,0.10450434029790295,,,56804,59336.30977083,56677.73034728,60489.22807277,56677.697430379994,60488.87681084,22,22,0.5348129817617003,0.04893364415114565,0.0839083300395439,0.31432247392545887,0.03595276885929581,0.0741835498369837,0.03045174248563154,0.016359072231504596,1,3
142038.52+532416.4,-1.0816151055737797,1.2394357137002914,1.4770968748574433,1.6926230133613127,0.0707711770831645,0.08109754008192181,0.09274016578818507,0.1066211838849801,-0.3676138746401841,1.1984411975511373,0.5565684035890595,1.8144432246178483,0.021110709050705667,0.0688220580919167,0.04349015360917286,0.14188052849849536,0.8707235646651167,0.7553823151683483,0.06811515969867897,0.0887386066208602,,,57428,59312.31410947,55362.01447305,60459.22797178,55362.01447305,60459.292214015004,24,24,0.7631124710818731,0.0709392691379383,0.06956022574918119,0.48541353154137945,0.059524626635590716,0.0717351101617355,0.07630358224523964,0.06452165068322685,0,0
141648.88+530903.5,0.896988387198838,1.2269295980440067,-1.261792683511674,1.7259206608353426,0.03955130267493473,0.05409954530695331,0.25572971095533614,,,,,,,,,,1.079390535355256,1.0587915713272766,0.25572971095533614,,,,57435,59311.26616103,55361.5182382,60458.171195,,,23,10,0.15466056926737962,,0.05620943025843514,,,,0.028149473987737206,,14,7
141320.04+520527.8,1.2336159674809772,1.4110679812938187,-1.2391344439081553,1.4173802742579058,0.05791877718139038,0.06625022223345312,0.13697358727376668,0.15711344549698542,-0.022198631824291333,1.4327354489938335,0.021635529567769464,1.3963919224777324,0.0009396041495785545,0.06064356505295009,0.0041025094013728775,0.264783193328344,0.6291461431952983,0.7072270214388662,0.07053804833756978,0.1539437999929596,,,57159,59312.25883456,55362.0803066,60459.38790867,55362.0803066,60459.09987019,24,24,0.4228463190179078,0.036133780510166524,0.067848038182073,0.22903156523276272,0.032231757686366165,0.05830496240088107,0.02809013986616965,0.026353601041398694,0,17
121938.27+552318.3,0.504389387386576,1.1016921031532754,-1.0910327302879068,2.3830440792338012,0.04466811678724225,0.0975645260543853,0.18698983128013738,0.41126194447253733,,,,,,,,,0.7977110588372414,1.3126904217790234,0.18698983128013738,0.41126194447253733,,,57867,59307.32351873,56798.73794932,60431.60098463,,,17,11,0.23887992454692927,0.061604631829337966,0.060264853409552455,,,,0.03905216343283746,,8,10
142628.80+021305.7,0.31638944535951985,1.284708655817787,-0.3922890973002597,1.5929014266323265,0.020906976360518303,0.08489339290953545,0.028188380350673867,0.11451445263843979,-1.6239821976687108,1.6142602067270913,1.2815355768927794,1.273863647183328,0.09822335574100993,0.09763534032055741,0.17887869060409475,0.18028955272279445,0.9035490793053174,0.7252747708600793,0.10353353547738431,0.10679171630335701,,,55629,59311.34644747,55220.2229828,60494.04125198,55220.2229828,60494.072895695004,25,25,0.7416877486548639,0.09312274702610107,0.10650445383399165,0.5491059634286113,0.09151128890795368,0.04230261994944673,0.031942583649755774,0.03609998134130876,0,3
161809.35+551522.2,10.046423539931002,1.7948357926196414,-6.740539021013826,1.2042256279937866,0.4876350723564302,0.0871180553082675,0.2531113104192071,0.0460928176000412,6.936179988554333,1.6885930255818644,-5.097726256874694,1.2410267637069008,0.3114332781584863,0.07581753390198914,0.3013029501812109,0.0836303658592005,7.205217201593464,0.7526241060394185,0.277207130300209,0.04774564359199276,,,56809,59321.46172222,55218.0288196,60491.049449435,55218.0288196,60490.730022575,25,25,1.9265637380992615,0.06797471112129894,0.07554970295520591,1.03362173510476,0.13780305763053396,0.07015906905228719,0.13003340222314375,0.12500246951952732,0,0
234329.77+273118.2,1.1246544036639856,1.5972564283476671,-0.9029864985048852,1.2824392851254927,0.05588989828480706,0.07937593897669634,0.025747283518236408,0.036583312577946274,1.1838173788423203,1.5186665639735613,-1.035750727201846,1.3287184544891335,0.047998792958126035,0.06157551264189107,0.03709589924103672,0.04760422685646492,1.0618022520532593,0.7188410586563271,0.031421591379636564,0.030018749031969577,,,58013,59203.06679002,55376.2863439,60491.7977501,55376.2863439,60491.7977501,24,24,2.170710484670008,0.09265488303481284,0.16131931738651728,1.29391102359444,0.042438121020302755,0.09847085185954851,0.3105175133760856,0.23237673123001257,4,5
