Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Off spectrum 4000A flux,Redshift
122029.31+331025.4,-3.4484328539118527,2.181613036865053,1.7785269822707677,1.1251654926488377,0.1484725659181629,0.0939295323835091,0.3379420293182479,0.2209690179328152,-5.180266045906615,2.0587062556560003,2.878693580759174,1.1440309108271849,0.1661082101758128,0.0660136001460748,0.541477821191004,0.238076846290977,3.3214798657121025,0.8504598388692616,0.4397099252546259,0.1624098916523023,0.4278650806633374,0.0965261951416222,55590,59291.35192347,55352.6161265,60449.51960387,55352.6161265,60448.590414965,24,24,0.4393432986648216,0.0726040572939421,0.1386601693506959,0.3067682621061942,0.057702636809301,0.0286291884105503,0.0271449635526998,0.0278562493447674,1.0,7,237.38387350000264,3938.7357969700015,237.38387350000264,3938.7357969700015,2.920487716733978,0.7306934
143334.60+331303.7,-0.2308602562515391,1.265791051964365,0.2974877360995129,1.63110498332642,0.0174470811708423,0.0956611570459564,0.0476807424565298,0.2614674186942873,-1.6824087128898269,,,,0.0428028275654762,,0.1839827216584235,,0.7369189017469596,,0.1158317320574767,,0.2230120268902755,0.197988209336335,55649,59323.30397987,55210.6230156,60482.9920262,55210.6230156,60483.24771418,25,25,0.365914628673174,0.0338272593072828,0.0489622279730438,0.2326459092443614,,0.0519424085093574,0.0168463307553701,0.0123525111516135,0.0,13,438.3769843999981,4112.680964269996,438.3769843999981,4112.680964269996,1.5370139265616405,0.731
160557.96+430039.8,-0.5064137688104657,1.3492607319353738,0.5590684901047704,1.489551048212293,0.0250235088497203,0.0666712477930304,0.0266511095749244,0.0710196601836088,-0.135919936108575,1.133982413028196,0.2541931518500177,2.1207379282452474,0.0079729564750341,0.0665185158364536,0.0100577709962353,0.0839168367340142,0.3638988367184572,0.783530165394428,0.0183544402855798,0.0549677806083674,0.3618358976768905,0.0925262169814346,57897,59319.40428328,55227.890011,60502.476620685,55408.0533116,60502.41307916,24,23,0.9389293447378476,0.0458461934720403,0.0257916129657653,0.7927160479214013,0.0698266815670766,0.061699918266017,0.0335605936015458,0.0206384051637285,0.0,0,2669.109988999997,4091.5142722799937,2669.109988999997,4091.5142722799937,4.610832688564636,1.1225053071975708
122527.96+570140.0,-0.431883577274588,2.452375163304201,0.1928716036092273,1.0951875812985512,0.0094990462160419,0.0539386682918234,0.0300261897918029,0.1706470039937445,-1.6634819705688408,1.3795496657037976,1.7503963726867875,1.451629036871047,0.0400102378627756,0.0331810691338282,0.1412151714089217,0.1180437305352995,1.009658381034861,0.8375546221237045,0.0856206806003623,0.1037481593700961,0.2483819632631736,0.4351274476602993,58135,59307.31280321,55334.130838,60431.21655104,55334.130838,60431.31269122,23,23,0.3163586949228958,0.0750042955708257,0.0883737056076615,0.2833281825429128,0.0297017010077606,0.0602610336709865,0.0157756266492152,0.0164742372879413,1.0,9,2800.8691620000027,3973.181965210002,2800.8691620000027,3973.181965210002,0.5681796774396434,1.1200101375579834
165216.75+351743.3,-1.414635169357424,1.2693507206576486,1.8093999336630733,1.6235727482983429,0.0827523487406501,0.0742535996456039,0.5133347849320503,,,,,,,,,,1.6120175515102488,1.0304416190463106,0.5133347849320503,,0.5116431019767314,0.3077571945795258,58250,59312.45872123,55249.75889175,59794.89282589,,,11,5,0.1612054183150748,,0.0939735999722545,,,,0.0496704165751683,,8.0,2,3000.241108250004,4062.699829480007,,,0.6417385690208001,1.1220344305038452
161056.00+424526.0,-1.3884381567529656,1.2533865459866136,1.8374558641543155,1.6587288729958094,0.0663778011024194,0.0599213169483288,0.1387533010739631,0.1260003760299155,-1.2864990639907967,1.6586256956207144,0.9722132608391632,1.2534310682270156,0.045723024276925,0.058948649921241,0.1040010863756436,0.1346891598832143,1.3711515864343102,0.7350377519530977,0.1213771937248034,0.0922188491439334,0.042200424033377,0.1276317529091246,57900,59312.38316149,56694.00389263,60507.51807622,56694.06985375,60507.58187244,22,22,0.4783871849437037,0.047121178068913,0.0543771144787241,0.4396398717584271,0.0539145083683618,0.0554219997314458,0.0241943037923326,0.0178660663751184,0.0,0,1205.9961073700033,2618.3792688600006,1205.9961073700033,2618.3792688600006,2.3317561347583995,1.2017083168029783
113706.46+545548.5,0.268874080741048,1.6683297482722013,-0.2013417287759648,1.2493000246052128,0.0118053692601872,0.0732508268250555,0.0563248445853089,0.3496167545837737,,,,,,,,,0.2351079047585064,1.042122197783035,0.0563248445853089,0.3496167545837737,0.4044834274763295,0.2732294373174208,57131,59308.25597082,55328.07682265,60425.34346764,,,22,16,0.2095943512512837,0.0352285874182374,0.0666252682124899,,,,0.0257202347890421,,12.0,14,3980.1791481699984,1802.92317735,,,0.9292624004191906,1.2024805545806885
122550.34+452422.3,3.1315729159706573,2.0811799344509523,-1.7157539576287166,1.1402553301125664,0.125896090082474,0.0836679916246694,0.1608418592226453,0.1070882033118774,3.5720659055413617,2.125051456020618,-1.905042565276352,1.1333255276285916,0.1074731388968803,0.0639366563594545,0.2431110464981764,0.1508195541263232,2.581108836104272,0.8452722408979164,0.2019764528604109,0.0924857032132925,0.5221531270064093,0.2016763367997329,56777,59335.3873082,55346.3669692,60440.93281609,55346.3669692,60440.74040852,23,23,0.7827321239068888,0.0315127471605743,0.0733765406879612,0.4420742720042814,0.0777686010880788,0.0558156332915414,0.0406995211573194,0.0377343098902501,1.0,4,3989.0203390000015,1430.633030800003,3989.0203390000015,1430.633030800003,1.875316043571729,1.067
155239.78+425450.6,1.3271544723472068,1.4178034329087117,-1.320459173186698,1.4106508230717187,0.0501968211595006,0.0536254270651514,0.2032614475809463,,0.243314593964269,1.738561822881031,-0.1710855997143502,1.2224621929244197,0.0093540247240249,0.0668375456256571,0.0367707508239123,,0.7655034598031311,0.7296023464921507,0.1200160992024293,,0.4554633187004892,0.2199883342633576,57843,59342.35957591,55223.7217247,60498.00808066,55223.7217247,60498.13516437,25,25,0.2469569205420047,,0.0630171559711693,0.254387645463632,,0.1013989531028663,0.0139979453013548,0.0301284681788417,0.0,0,4118.637851209998,2619.278275299999,4118.637851209998,2619.278275299999,1.208108751013779,1.0672111511230469
145454.48+360242.5,-0.6072280521940013,1.3505663051285477,0.6689297137669534,1.487800059053095,0.0228609538569047,0.0508461917572441,0.1104000779529125,,-0.0707673598174114,1.3625725113874625,0.0764615297472385,1.472209488682786,0.0036023587424484,0.0693607195645137,0.0179388821001985,,0.3558466638814012,0.7098231728581834,0.0641694800265555,,0.0671457848737818,1.4342289103728605,58220,59348.45952603,55213.76528455,60486.635983375,55213.76528455,60325.53105365,25,23,0.2070737111857412,,0.1445073752759256,0.2008128891380886,,0.0676769099578491,0.0290427347330052,0.0435683388120116,4.0,17,3006.234715450002,4134.69424148,3006.234715450002,4134.69424148,0.7749667316008746,1.0632866621017456
