obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56026.3787772,19.697,0.104,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13051600000628,231.323196,40.232667,4413,4,56026.3820172,1123,19.706,21.04,27.978,1.55,1.885,0,131072,1,1,13051600,0.193221,67.062251
56033.3853172,19.559,0.077,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13082302001048,231.323241,40.232698,4413,4,56033.3886172,1130,19.578,21.849,27.972,1.55,2.711,0,131072,1,1,13082302,0.193221,67.062251
56033.4202272,19.558,0.079,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13082462001031,231.323229,40.232685,4413,4,56033.4235372,1130,19.575,21.755,27.971,1.65,1.887,0,131072,1,1,13082462,0.193221,67.062251
56035.3434272,19.489,0.076,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13101907001028,231.323193,40.23269,4413,4,56035.3467372,1132,19.486,21.677,27.981,1.85,2.108,0,131072,1,1,13101907,0.193221,67.062251
56035.3862872,19.681,0.073,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13101863001097,231.32325,40.232676,4413,4,56035.3895972,1132,19.672,21.84,27.983,1.65,2.154,0,131072,1,1,13101863,0.193221,67.062251
56035.4191572,19.644,0.076,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13101754001094,231.32325,40.232688,4413,4,56035.4224672,1132,19.621,21.858,27.975,1.65,1.872,0,131072,1,1,13101754,0.193221,67.062251
56037.3560672,19.445,0.068,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13115443001094,231.323269,40.232677,4413,4,56037.3593772,1134,19.454,21.785,27.992,1.85,1.829,0,131072,1,1,13115443,0.193221,67.062251
56037.3862872,19.467,0.058,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13115129001121,231.323251,40.232668,4413,4,56037.3895972,1134,19.47,21.854,27.994,1.75,2.278,0,131072,1,1,13115129,0.193221,67.062251
56037.4156572,19.7,0.064,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13115127001038,231.323246,40.232697,4413,4,56037.4189672,1134,19.706,21.718,27.99,1.95,2.044,0,131072,1,1,13115127,0.193221,67.062251
56039.4555872,19.533,0.056,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13131730001193,231.323214,40.2327,4413,4,56039.4588972,1136,19.54,22.105,28.0,1.45,1.829,0,12713984,1,1,13131730,0.193221,67.062251
56039.4869072,19.506,0.057,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13131586001106,231.323233,40.232699,4413,4,56039.4902172,1136,19.515,22.043,27.994,1.45,1.796,0,131072,1,1,13131586,0.193221,67.062251
56040.1915372,19.431,0.073,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13138593000940,231.32322,40.232716,4413,4,56040.1948472,1137,19.437,21.405,27.877,2.15,2.35,0,131072,1,1,13138593,0.193221,67.062251
56040.2248572,19.487,0.059,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13138584001014,231.323228,40.232686,4413,4,56040.2281672,1137,19.498,21.667,27.916,1.85,1.854,0,131072,1,1,13138584,0.193221,67.062251
56041.3985872,19.606,0.068,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13145374000878,231.323223,40.232668,4413,4,56041.4018972,1138,19.585,21.135,27.969,3.05,3.256,0,131072,1,1,13145374,0.193221,67.062251
56041.4289272,19.49,0.062,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13145469000908,231.323224,40.23267,4413,4,56041.4322272,1138,19.467,21.117,27.972,3.35,3.232,0,131072,1,1,13145469,0.193221,67.062251
56041.4614372,19.544,0.066,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13145375000826,231.323211,40.232727,4413,4,56041.4647372,1138,19.53,20.927,27.974,3.95,4.389,0,131072,1,1,13145375,0.193221,67.062251
56045.4451572,19.558,0.099,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13174441000790,231.323279,40.23272,4413,4,56045.4484472,1142,19.59,21.36,27.868,1.95,3.216,0,131072,1,1,13174441,0.193221,67.062251
56045.4837272,19.546,0.093,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13174379000774,231.323194,40.232694,4413,4,56045.4870072,1142,19.492,21.153,27.834,2.35,2.957,0,131072,1,1,13174379,0.193221,67.062251
56046.1659072,19.768,0.09,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13181856000631,231.323184,40.232687,4413,4,56046.1691772,1143,19.769,20.799,27.781,2.15,1.988,0,131072,1,1,13181856,0.193221,67.062251
56046.1971872,19.544,0.082,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13182062000761,231.323265,40.232695,4413,4,56046.2004672,1143,19.535,21.125,27.829,1.85,1.825,0,131072,1,1,13182062,0.193221,67.062251
56046.2327572,19.447,0.076,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13181849000820,231.323209,40.232711,4413,4,56046.2360372,1143,19.432,21.318,27.864,1.75,2.545,0,131072,1,1,13181849,0.193221,67.062251
56048.3308572,19.618,0.116,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13197006000673,231.3232,40.232727,4413,4,56048.3341172,1145,19.582,21.006,27.804,1.85,2.195,0,131072,1,1,13197006,0.193221,67.062251
56048.3644172,19.663,0.104,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13197028000772,231.323205,40.232683,4413,4,56048.3676772,1145,19.599,21.241,27.806,1.65,1.822,0,131072,1,1,13197028,0.193221,67.062251
56048.3940272,19.476,0.106,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13196821000724,231.323234,40.232705,4413,4,56048.3972872,1145,19.603,21.397,27.811,1.65,2.151,0,131072,1,1,13196821,0.193221,67.062251
56050.2976572,19.949,0.228,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13210470000451,231.323161,40.232797,4413,4,56050.3008972,1147,19.869,20.105,27.774,2.85,3.39,0,0,1,1,13210470,0.193221,67.062251
