obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
55019.3113572,19.977,0.151,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,11911286000626,231.323168,40.232695,4413,4,55019.3122572,133,19.992,20.54,27.741,2.05,4.432,0,131072,0,1,11911286,0.193221,67.062251
55029.2333472,19.72,0.081,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,11952114001038,231.323233,40.232673,4413,4,55029.2337072,143,19.727,21.636,27.764,1.55,2.69,0,131072,0,1,11952114,0.193221,67.062251
55029.3318672,19.666,0.093,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,11952126000752,231.323201,40.232666,4413,4,55029.3322172,143,19.69,21.096,27.695,2.05,3.031,0,131072,0,1,11952126,0.193221,67.062251
55040.2113472,19.793,0.073,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,11988482000979,231.323227,40.232697,4413,4,55040.2110972,154,19.809,21.561,27.835,1.75,2.186,0,131072,0,1,11988482,0.193221,67.062251
55634.2594672,20.019,0.18,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,9961696000452,231.323283,40.232702,4413,4,55634.2620872,733,19.956,20.084,27.855,3.85,4.956,0,0,0,1,9961696,0.193221,67.062251
55634.2614272,19.684,0.16,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,9961680000472,231.323468,40.232693,4413,4,55634.2640372,733,19.617,20.13,27.863,3.75,4.343,0,131072,0,1,9961680,0.193221,67.062251
55651.4975372,19.607,0.075,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,9991837000986,231.32322,40.232666,4413,4,55651.5006372,749,19.624,21.599,28.103,2.25,2.977,0,131072,0,1,9991837,0.193221,67.062251
55652.5245572,19.584,0.071,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,9994534000974,231.323205,40.232691,4413,4,55652.5276772,750,19.6,21.576,28.13,1.75,2.538,0,131072,0,1,9994534,0.193221,67.062251
55666.2224772,19.886,0.159,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,10044276000556,231.323236,40.232633,4413,4,55666.2257672,764,19.894,20.614,28.045,2.45,2.399,0,0,0,1,10044276,0.193221,67.062251
55666.2657972,19.94,0.106,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,10044243000712,231.323249,40.232698,4413,4,55666.2690872,764,19.941,21.054,28.081,1.85,2.863,0,131072,0,1,10044243,0.193221,67.062251
55680.5040072,19.491,0.121,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,12855487000542,231.323199,40.232656,4413,4,55680.5072872,778,19.531,20.556,28.067,2.45,3.919,0,131072,1,1,12855487,0.193221,67.062251
55689.4924572,20.176,0.166,44131040002684,231.323277,40.232706,1,0,2.031235e-06,7,7,7,20.305,0.042,20.184,20.184,20.286,20.286,0.259,0.259,10073276000321,231.323128,40.232526,4413,4,55689.4956272,787,20.177,20.448,28.115,3.55,4.291,0,0,0,1,10073276,0.212656,84.17205
55693.4234372,19.656,0.072,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,10069346001040,231.323235,40.232685,4413,4,55693.4265472,791,19.671,21.751,28.094,2.05,3.098,0,131072,0,1,10069346,0.193221,67.062251
55693.4669072,19.68,0.068,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,10069331000992,231.323179,40.23274,4413,4,55693.4700172,791,19.691,21.64,28.07,1.95,2.398,0,131072,0,1,10069331,0.193221,67.062251
55702.3952972,19.81,0.18,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13041312000602,231.323246,40.232695,4413,4,55702.3981972,800,19.852,20.998,27.921,1.65,1.95,0,131072,1,1,13041312,0.193221,67.062251
