ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
246.2555174205973,42.25982607673128,0.7304096,162501.32+421535.3,6035,56076,162,246.2555139724084,42.25984008235372,0.7303720491850426,39633118788849163,59311.40505391,20.682270050048828,0.0006279508149573676
261.562133,58.758791,0.7320810000000001,172614.91+584531.6,366,52017,496,261.5621439887814,58.75879215910607,0.7316453089229863,39633372313554592,59314.41581073,18.92628669738769,0.0006453089229863096
247.7919998675584,43.88891053650842,0.73,163110.08+435320.0,6030,56097,352,247.7920062529044,43.88890666600227,0.730338857424811,39633149734423683,59311.40505389,19.42071533203125,0.000661142575189011
203.3194688694404,32.30018850522859,0.7302734851837158,133316.67+321800.6,10257,58526,54,203.3194843976463,32.30020605972605,0.7303161435629529,39628527686910084,59292.39605585,19.54439353942871,0.0006838564370470479
235.300157,31.941604,0.730708,154112.03+315629.7,1581,53149,253,235.30016758371244,31.94158847308621,0.7302633666708277,39628523018649755,59309.44088565,20.595590591430664,0.0007366333291722871
253.06979918329063,35.295379513435506,1.1220344305038452,165216.75+351743.3,10725,58250,43,253.06980080865668,35.29538431338532,1.1222708486001025,39632986798293577,59312.45872123,21.01990127563477,0.0006438486001023591
225.5410405712701,32.29507988153818,1.119,150209.84+321742.2,3870,55273,64,225.5410462338356,32.29508596828943,1.1209741192719516,39628528001484435,59292.46147511,20.59098625183105,0.0006528807280485882
214.5461968159485,52.10502338707625,1.121,141811.08+520618.0,7340,56726,177,214.5462089042897,52.105024041313975,1.1209542344639378,39633278939956767,59231.5316127,20.97529029846192,0.0006727655360623253
238.359301,43.144751,1.122574,155326.23+430841.1,1334,52764,442,238.3593360249875,43.14474248817385,1.1223610896752714,39633136467838930,59340.38316712,19.20281791687012,0.0007340896752712212
245.66508647965924,44.56880101887607,1.12,162239.62+443407.6,8525,57900,984,245.6650912089377,44.56878560495336,1.1224270455259957,39633158378885373,59311.4050539,21.113664627075195,0.0008000455259955519
138.7900423775925,31.61858121184282,1.7179416418075562,091509.61+313706.8,11375,58426,766,138.79003042130574,31.618582088603524,1.7244838487517973,39628511341708243,59251.15305474,20.136608123779297,0.0005161512482028119
250.7238242519124,34.459807510733306,1.7275735139846802,164253.71+342735.3,10911,58256,119,250.7238228019905,34.45982503176077,1.7243713406008647,39632971874963221,59312.45872122,0.0,0.0006286593991353673
175.55602134660683,53.98212862528114,1.7181116342544556,114213.44+535855.6,8163,57049,836,175.55599984428756,53.98213343662215,1.7243710659718468,39633307746436936,59307.380517,0.0,0.0006289340281533384
216.7864709825681,34.03657455733752,1.7242873907089231,142708.75+340211.6,10757,58223,322,216.78647846337708,34.03654803418673,1.724346332685329,39632961397588788,59311.33460279,20.904579162597656,0.0006536673146710914
172.3081492688749,51.48229334212834,1.7231525182724,112913.95+512856.2,8159,57064,648,172.30812044991868,51.4822833775994,1.7243387768525154,39633270995946473,59308.27622282,20.01919937133789,0.0006612231474847352
243.75496993238312,42.813038139840025,1.2029292583465576,161501.19+424846.9,8526,57898,566,243.7549812107136,42.81303578982022,1.202693602967678,39633127680773242,59312.44716139,20.48128318786621,0.0003104423765523112
252.509678,35.92604199999999,1.204051,165002.32+355533.7,819,52409,169,252.5096893474871,35.9260488842484,1.2028033500852902,39633001549661589,59311.41551938,19.90184593200684,0.00042018949416444684
176.66390732570068,56.90403614738311,1.203,114639.33+565414.5,7091,56658,454,176.66389494501018,56.90402352326935,1.2028182318385867,39633348984834433,59307.35829043,20.24456214904785,0.00043507124746100523
209.815412,5.254894,1.201657,135915.69+051517.6,856,52339,542,209.8154241047117,5.254886564464269,1.2019456797895285,39627914978792229,59312.23489891,18.45596694946289,0.00043748080159722313
185.388353,33.117028000000005,1.205404,122133.20+330701.3,1999,53503,46,185.38836465984656,33.11701346920232,1.2028667307677523,39632940774195641,59351.16097771,19.02727699279785,0.00048357017662659096
114.524954,40.694206,1.068743,073805.98+404139.1,1734,53034,621,114.52495063796854,40.69421168332829,1.0687252456665213,39633089902674086,59254.19610283,18.860992431640625,0.0007252456665212126
179.14338745272514,52.75060819177435,1.0681877136230469,115634.41+524502.1,8228,57423,268,179.14333201802037,52.75060686736456,1.0672323809851232,39633289681571278,59308.26450978,20.731420516967773,0.0007676190148768747
234.3420240216396,42.94905977776643,1.0664302110671997,153722.08+425656.6,8512,57903,560,234.3420507436504,42.94906593120759,1.0671979683208597,39633132000904745,59338.37569314,0.0,0.0008020316791403914
201.46077,19.469383,1.0671,132550.58+192809.7,2619,54506,509,201.4607526614517,19.469390429771035,1.0671632107233309,39628250627965271,59347.19751097,18.17348289489746,0.000836789276669192
150.865332,1.961774,1.067831,100327.67+015742.3,501,52235,182,150.86534421511817,1.961795693361144,1.0688553647133636,39627835576420678,59313.12272747,18.31850814819336,0.00085536471336356
209.87262,22.94411,0.5489999999999999,135929.42+225638.7,2784,54529,460,209.87263572049704,22.94410121495908,0.5491377569090744,39628329669624831,59283.42881282,19.37005043029785,0.0014251328360458393
225.7562912526089,34.98987385984963,0.5496131,150301.50+345923.5,10747,58220,169,225.7562960838312,34.989876762662576,0.5491845403622267,39632981475722137,59348.45952605,20.99307632446289,0.001471916289198183
158.676853,6.788798,0.550104,103442.44+064719.6,999,52636,557,158.67685233418075,6.788810363714497,0.5495913805927739,39627950198359135,59268.44834043,19.167299270629886,0.0018787565197453393
