Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
16449,179.071155,0.7249760000000001,1.171773,115617.07+004329.9,284,51943,608,179.07115747091967,0.7249767805487037,1.1734024326755574,39627805851387196,59310.15691429,18.64486312866211,0.006123219451296236
3054,179.9576684704113,0.7249059951810761,2.7060000000000004,115949.84+004329.6,3843,55278,974,179.9576424371769,0.7248980256069362,2.708501050660561,39627805863973301,59263.43204665,19.97411155700684,0.006201974393063803
8551,196.976138,0.7394569999999999,0.763464,130754.27+004422.0,294,51986,531,196.97613705555105,0.7394465315610611,0.7629673106688053,39627806149186105,59267.42839423,17.442144393920902,0.008346531561061132
21014,178.13973783918274,0.7397933338512934,2.435,115233.53+004423.2,3842,55565,926,178.1397327192944,0.7398038057594122,2.4339163898609963,39627805834611451,59312.15326656,0.0,0.008703805759412209
20884,182.8613058086204,0.7427140353207117,2.355,121126.71+004433.7,3845,55323,801,182.86129643607217,0.7427236230427341,2.353962374714272,39627805914303222,59310.2121879,0.0,0.011623623042734121
2597,38.41353230196029,1.1289991938500712,1.518,023339.24+010744.3,6781,56274,622,38.41353770207439,1.1289737520358705,1.5102338523243788,39627815569593762,59220.10123124,0.0,0.007273752035870551
2593,38.08969917818462,1.1128801488338231,1.747,023221.52+010646.3,6780,56267,963,38.089679846207055,1.1128433265846085,1.7468836083419454,39627809525599577,59220.10123121,19.778881072998047,0.008856673415391425
2599,38.38270899999998,1.1318449,1.203,023331.85+010754.6,3744,55209,824,38.38269333078835,1.1318743492146204,1.1998297152341653,39627815569592669,59220.10123124,21.05620384216309,0.01017434921462046
21252,179.06061319608554,1.132103136197359,2.778,115614.54+010755.5,3843,55278,784,179.06059024820087,1.132125706338106,2.7697179645243035,39627817930982536,59312.15326647,0.0,0.010425706338106133
1562,38.99952540570331,1.1106380238375122,0.98006475,023559.88+010638.2,6781,56274,747,38.9995365154188,1.1106342545299457,0.9800821878256368,39627809538186930,59220.10123123,0.0,0.011065745470054233
21069,148.43841899999995,1.7144080000000002,1.655603,095345.22+014251.8,481,51908,142,148.4384375573677,1.7144250273028598,1.654015732706693,39627829494681463,59315.14688546,19.67841148376465,0.003674972697140122
21265,179.450028,1.7224270000000002,1.366952,115748.00+014320.7,515,52051,11,179.45005911708432,1.7224573358231992,1.3664473211049275,39627830014775669,59348.2270979,19.165828704833984,0.004357335823199193
16131,219.015301,1.724185,1.460198,143603.67+014327.0,535,51999,29,219.0152953225929,1.7241909027748603,1.4605676403435353,39627830681665852,59337.38008439,18.96671485900879,0.006090902774860352
21105,149.991572,1.724278,1.629844,095957.97+014327.4,500,51994,153,149.99158513609336,1.7242795333922372,1.6298735976792125,39627829519847920,59312.12678918,20.447114944458008,0.006179533392237202
21264,179.6669349473299,1.7264585719772534,2.991,115840.06+014335.2,4746,55632,150,179.666932556454,1.7264406175264688,2.9852314954587347,39627830018968591,59312.15326649,0.0,0.008340617526468863
31,37.87079048834352,1.2139356707084084,0.601,023128.98+011250.1,6780,56267,906,37.87076746267815,1.2139388228809551,0.6009712305671419,39627815561204300,59225.15787282,20.668981552124023,0.011138822880955024
1220,219.0012989792181,1.2152389255530216,0.759,143600.31+011254.8,4024,55646,44,219.00131592247223,1.2152523901057202,0.758984595596472,39627818602070092,59340.3291232,19.143028259277344,0.01245239010572008
2618,39.32630315214874,1.218039346502468,2.076,023718.31+011304.9,6781,56274,829,39.32629459486893,1.21803389411046,2.070060147085244,39627815586367791,59220.10123123,0.0,0.015233894110459945
16541,179.394708,1.218169,1.304799,115734.72+011305.4,285,51930,368,179.39471131534555,1.2181602557302256,1.302839047683695,39627817935178758,59318.20871336,18.727703094482425,0.01536025573022548
21057,149.24015320338376,1.2194682949971556,2.335,095657.63+011310.0,3828,55539,834,149.2401265955019,1.2194589720703088,2.337697270737724,39627817427669805,59311.13373054,20.22992897033692,0.016658972070308753
2598,38.28982539121677,1.0603560378945345,1.622,023309.55+010337.2,7824,57282,373,38.28984513084872,1.0603506336491615,1.6120385893367926,39627809529791701,59220.10123124,0.0,0.006749366350838448
16411,182.927436,1.060317,0.293476,121142.58+010337.1,287,52023,401,182.92742825953547,1.0603236984307836,0.2933756357160593,39627811954101764,59339.14018718,17.908859252929688,0.006776301569216381
3065,180.4106893036125,1.0600702063606326,3.859,120138.56+010336.2,3844,55321,592,180.4106774313417,1.0600712707825124,3.8574571474471737,39627811912157927,59263.43204666,20.356096267700195,0.007028729217487539
20245,217.327543,1.074914,1.94194,142918.61+010429.6,535,51999,242,217.32754023680744,1.0749387716157863,1.9411794178131645,39627812532913950,59313.36821473,19.314577102661133,0.007838771615786388
20249,216.31460106400547,1.0750626556214944,2.091,142515.50+010430.2,4027,55629,134,216.3146109670784,1.075025005672113,2.094542341548384,39627812516136450,59311.29758743,0.0,0.007925005672112961
20280,219.75316122243007,0.6686906996777521,2.171,143900.75+004007.2,4021,55620,410,219.75315519507163,0.6687013234963509,2.168041150404043,39627806535057533,59311.36066941,20.757457733154297,0.12120132349635093
20513,213.29294700000003,0.669013,0.569326,141310.30+004008.4,303,51615,414,213.29294563856945,0.6690240261625406,0.5686582628660238,39627806426006554,59339.29264018,19.29040908813477,0.12152402616254065
20058,220.27013789889256,0.6707054194534134,2.162,144104.83+004014.5,4022,55352,586,220.27013756883105,0.670726454892038,2.1580674185112207,39627806543446579,59313.38928445,0.0,0.12322645489203798
