Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Redshift
122716.20+543434.0,2.9135658008204177,1.399794184551738,-2.9745385121114443,1.4290879271737502,0.1597685135556011,0.0767592192654895,0.5027033218793613,0.2560258291768108,3.882698328021229,1.4790670808428796,-3.562799189409079,1.3572053637744923,0.1114524081077761,0.042456450124697,0.4460409809787008,0.1788547806556017,3.3334004575905425,0.7084914383652582,0.474372151429031,0.1561555776853943,55337.0411413,60433.910768505,55337.0411413,60434.13475598,23,23,0.3178186946493708,0.0537120339525176,0.0548360752692156,0.2498703322354547,0.0312822593086593,0.0287048847713534,0.0186913292040016,0.0177707679711513,1,7.0,190.1721176000065,2747.653282334999,2747.5878305950027,3636.820528820004,0.6180420999999999
150238.58+330005.7,6.530840944206348,1.191631471739074,-10.0774795425115,1.8387588797912036,0.5917500862760323,0.107972010378906,0.2823311233071258,0.0521184673621655,9.24874693818201,3.5349822206733723,-2.727769338093293,1.042586220242412,0.3479267245005668,0.1329817750909709,0.1922992288171215,0.0747388303513966,7.146209190748288,1.0719172399713934,0.2373151760621236,0.0455582797153161,55217.1734366,60490.34196059,55217.1734366,60490.34196059,25,25,2.0959435125128376,0.0587200483791363,0.0906085588871961,1.809298594907255,0.1275499066734752,0.0376187960191888,0.0779346061650132,0.0518295490915821,1,3.0,0.0,3446.515228999997,363.541159350003,3652.2573211499994,0.617312
093053.11+314745.2,3.610055890407793,2.229208561627132,-1.8119787065159287,1.1188963740932798,0.1968072745927493,0.1215284402322925,0.4628724497672537,0.3093156458863128,2.0450394563024963,,,,0.1263516875647756,,0.4467717137468204,,2.48902468440874,,0.4548220817570371,,55316.7921275,60411.69002828,55316.7921275,60411.85072876,23,23,0.4251868407629575,0.1086145625690989,0.0545164065508465,0.2828104010997827,,0.0617844742190079,0.0434685142583494,0.0238964043212773,1,12.0,3477.550723920001,2382.2715221300023,0.0,3841.890903910004,0.4482166767120361
151119.76+322021.5,2.369869663316531,1.2082383065065896,-3.4947907721705205,1.781760469583337,0.1281054986934254,0.0653124402541681,0.2213179745414745,0.1137023875334848,1.4110964604739693,1.0457889882285611,-4.610475946002315,3.416906717491425,0.134822246040066,0.0999191934969379,0.492794986516177,0.3689979929678413,2.9715582104908336,1.0429356493876396,0.3570564805288257,0.1930594155597635,56683.53212595,60493.12085445,56683.433311625,60331.72223358,22,20,0.5788300699879159,0.0366561282333541,0.0540559258073911,0.2735868864924831,0.0292425874506445,0.0955443159390967,0.0295780538362431,0.022567792998687,6,12.0,1821.7580115200035,2189.0061890850047,536.2605028550024,2714.495542565004,0.4489268
161251.11+542252.6,2.5373402710871518,1.146055004238971,-4.532106085526344,2.047042297891688,0.317427730995736,0.1433744002478688,0.1759808186215817,0.0797794467686351,7.898920845709623,4.502246004566607,-1.799386408322292,1.025618616236772,0.3622763513833171,0.2064911508070666,0.2057842757617038,0.1196311247468217,4.191938402661353,1.2948440271347903,0.1908825471916427,0.0718963944417575,55217.66514195,60490.53761514501,55217.66514195,60490.53761514501,25,25,1.8037632367099796,0.0700397839338906,0.1251025471880169,1.7604666345004394,0.201333271001583,0.0458640311075013,0.054564537596272,0.0437526224088682,1,3.0,1827.291064500001,2357.830001770002,5272.872473195006,0.0,0.44947395
080934.31+335238.2,6.900129603486356,1.1940374760179262,-10.575293246678704,1.830008591437703,0.3608499191795047,0.0624435121480425,0.6835132451227134,0.1262599548588454,1.923491571577154,1.2239695261448649,-2.725407244748161,1.734250081049749,0.25104053007811,0.1597438549683476,0.5969538980708764,0.4017315262157897,5.5310804166225935,0.7615929721406068,0.6402335715967948,0.2105527222316452,55297.9373007,60395.58788645,55297.9373007,60395.555478935,22,22,0.5279340550521741,0.0341219775908184,0.0522961074524139,0.4205358753655445,0.0921111993673104,0.1305129348044249,0.0931473166726256,0.0491934306431612,1,2.0,2182.73661421,3844.8235270949954,2182.703824599994,3477.8935490899967,0.4497640000000001
160235.49+430814.0,3.0890025542326645,1.6884930672663934,-2.2704608683976653,1.241066450571909,0.1270393609296376,0.0694415353932691,0.5687987441697074,0.3420122738214771,2.221551466541058,1.113324761874074,-4.5395295819369474,2.27497348900013,0.3126154014136511,0.156666398496237,1.4842767016715177,0.888158476948319,3.030136117777084,0.8218215733204052,1.0265377229206123,0.4758670706246899,56691.17138553,60500.9450011,57227.10958145,60502.03017442,22,16,0.2233467676077252,0.0559531162584155,0.0411263372882497,0.2106180074521141,0.0688651534858514,0.1407194053894197,0.0217432607169366,0.049633755791364,9,15.0,2714.080025300005,1619.1728577050017,3283.736947330006,3445.431939900001,0.54344165
155738.01+421628.1,2.0246579685819173,1.258898431797442,-2.6475160721079587,1.646181173835329,0.1619219643905867,0.1006803668609982,0.4663619493211929,0.301388014488318,2.6862136167309667,1.3227092632448456,-3.1026829873126283,1.5277815221653783,0.1514630189010479,0.074581387307259,0.5168306418396854,0.2686582931379661,2.615267661183368,0.7236372491283014,0.4915962955804391,0.2018737314195534,55225.6405833,60500.21064357,55225.6405833,60500.30640157,25,25,0.3472023492188205,0.0611599552110231,0.0799749720215695,0.2930612209096339,0.0488167884119662,0.0563853216876226,0.031134796893105,0.020031388938926,0,3.0,4748.779726289999,2922.022555584997,4748.649586729996,5274.6658182699975,0.5434979999999999
132229.23+194052.7,6.597573632244945,1.154652521736148,-11.429233932590252,2.0002495640639384,1.0190725292095015,0.1783496071848159,0.7579233372857592,0.1418485431485792,9.836481047937497,2.095446135716447,-5.341738455439102,1.137939996011563,0.6184786861393266,0.1317532933350569,0.4723126058911209,0.1089383744041903,8.301256767052948,0.8299104886485277,0.6151179715884401,0.0894267557993717,55375.4031301,60477.17013846,55375.4031301,60477.17013846,24,24,1.3445588479422708,0.0891636775675432,0.1544617136561981,1.309468937362854,0.1157822853549811,0.0628760105494239,0.2324369904757501,0.1303327380130486,1,2.0,5101.767008360002,2014.8380653550048,5101.767008360002,2014.7725497799984,0.5436
090952.01+315503.2,5.84525229709879,1.5327110172331575,-5.032277734912901,1.319537144685162,0.2051585315849859,0.0537955806964494,0.3695670460122674,0.1006348621257375,6.230275687106299,3.3182202114000723,-1.9691442317141208,1.048758436542068,0.1428161166663493,0.0760632993844379,0.3206873508287042,0.1786031898724462,4.769237487708028,1.00625732817561,0.3451271984204858,0.1025017986521203,55312.6240956,60407.57669897,55312.6240956,60407.57669897,23,23,0.5551321033590639,0.0407685232000687,0.0350983193123782,0.4453437789089312,0.0725269964313529,0.0229229208848511,0.0364266402741114,0.0375617839544187,0,5.0,4363.633964695007,0.0,2904.036558960004,191.3167290000056,0.5428977012634277
140512.89+000502.1,4.234289532453278,1.0548988168099416,-12.60677023293476,3.140755231920223,0.4314141125626349,0.1074792437808942,0.3829243910004795,0.0961053070650827,3.332438033398359,1.392898906632165,-3.43684144360284,1.4365376463371589,0.2990516536526786,0.1249981896811351,0.3765743321417349,0.1627195339747289,5.902584810597309,0.9676312157138642,0.3797493615711072,0.094490577285551,55216.7166733,60489.95205172,55216.7166733,60489.95205172,25,25,1.1266300154854714,0.034220827745046,0.1018858321463626,0.7941371148475453,0.0870135147518422,0.0897395992530163,0.0855720982990442,0.0427774779144227,3,6.0,4909.207213420006,4177.349164350002,5273.235378420002,1826.936611080004,0.541783
142022.71+515158.5,2.115093391767764,,,,0.1400339976912543,,0.7021527198922686,,1.8759657809928276,,,,0.2707645832668496,,1.3172582147669365,,1.995529586380296,,1.0097054673296024,,55363.866408450005,60460.7003803,55363.866408450005,60301.65248407,24,18,0.1994352421119151,,0.0662070044927027,0.2055516376603171,,0.144333434015812,0.0131998019686001,0.051564931912366,7,13.0,0.0,5096.833971849992,188.90560434999497,3270.780963339996,1.518
142931.58+012123.5,5.455880889845061,1.4007231245823104,-5.562520698664526,1.4281014433598491,0.1833396421624223,0.0470699565504707,0.5275661119085882,0.1443920244106424,2.56543419840319,1.2316908339254948,-3.5677091202796136,1.7128931329815265,0.1773850275748125,0.0851643408649923,0.5978903773145584,0.3040377133688987,4.287886226798097,0.7268323482609945,0.5627282446115733,0.1682914049082662,55221.0832792,60495.12693461,55221.0832792,60495.3821198,25,24,0.3475197478078155,0.0329598130226174,0.033604040459107,0.2966848678373824,0.04971958800299,0.0691442515599202,0.0376784629598336,0.0419405189030352,1,8.0,4017.1753036200025,2921.8431254800016,4748.561403170002,2000.4743133599984,1.520891
