Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
1,34.520737580924965,-7.426444634761465,1.6143205,021804.97-072535.2,4391,55866,414,34.52070260016869,-7.426429459476916,1.0465529663644138,39627604520600432,59220.16168222,19.983341217041016
3,31.89466309448659,-7.049043184273963,0.24323767,020734.71-070256.5,4397,55921,950,31.89466579862017,-7.049046197036175,1.060304012095712,39627616470177096,59216.19440462,19.451847076416016
4,31.74392000058415,-6.515916769178588,0.1221123,020658.54-063057.3,7238,56660,180,31.74390892370927,-6.515900180988012,2.264115619777749,39627628474272205,59216.19440462,19.08823776245117
5,32.264784976655285,-6.579662129934943,0.50851494,020903.54-063446.7,4394,55924,474,32.26477768438461,-6.579677264299432,1.448856647870875,39627628482661656,59216.19440462,19.941482543945312
7,34.9695087702775,-5.999225689865153,0.5535026999999999,021952.68-055957.2,7236,56605,363,34.96949237548887,-5.999257621599537,3.855811151191507,39627640541285102,59220.16168229,19.565242767333984
10,30.70597474215204,-6.046987802221078,0.09991046,020249.43-060249.1,7238,56660,431,30.705955504726404,-6.046960312327648,1.2254766767266403,39627640469981695,59217.22093664,18.778488159179688
12,31.77406087733448,-5.240720657904081,0.31855717,020705.77-051426.5,7238,56660,820,31.77405226129042,-5.240711094161016,1.1752202585450588,39627658530659467,59217.22093664,19.50359916687012
13,32.253514346356496,-4.084220613755893,1.9203022,020900.84-040503.1,7885,57336,430,32.25348923368572,-4.08420440920172,1.2783540153339732,39627688662539952,59217.22093664,20.06473731994629
15,30.471972012486063,-5.144523160967788,0.60216725,020153.27-050840.2,7238,56660,523,30.47197038676491,-5.144505589274639,1.59344383583202,39627658509685321,59268.09847289,19.735618591308597
16,29.08351045848629,-4.2752032172263394,0.89342976,015620.04-041630.7,7892,57333,76,29.08349097925636,-4.275195807580478,0.4986771530718306,39627682580792633,59217.19524616,18.75642204284668
22,39.554545401539286,0.1424469120565734,0.41785035,023813.09+000832.8,6781,56274,896,39.55454474530272,0.1424317038775576,1.2842818082745513,39627791431370501,59225.15787283,19.07145500183105
23,38.08135426341437,0.3519162001849463,0.29851097,023219.52+002106.8,6780,56267,953,38.081345819659866,0.3519228299795805,2.045360379097528,39627791406206261,59225.15787272,18.82222557067871
25,39.14661996218416,0.9034812857328562,0.8902844999999999,023635.18+005412.5,4239,55458,838,39.14660997524189,0.9034834948831572,0.4984043336532546,39627809542378082,59225.15787279,19.226036071777344
27,38.38848017014254,1.0591649492069328,0.6285206999999999,023333.23+010332.9,7330,56684,599,38.38848756736428,1.05915951298525,2.0671519972745744,39627809529794984,59225.15787278,18.35824966430664
29,39.5641178995279,1.5168091796638472,1.9065881,023815.38+013100.5,7824,57282,63,39.56410690666573,1.5168124190604686,1.2714500012772842,39627821630359838,59225.15787276,19.87251853942871
32,27.691935439575644,-3.2198184979574904,0.31016564,015046.06-031311.3,7892,57333,635,27.69191300829421,-3.2197889513167017,1.6577431521747783,39627706681267622,59217.19524616,18.370943069458008
34,27.60297892654796,-3.682307160951232,2.001235,015024.71-034056.3,7892,57333,609,27.60298538527552,-3.682302113558781,0.8960619396381768,39627694618445835,59217.19524616,18.60663414001465
35,27.972716094172824,-3.3159789954789582,0.50359887,015153.45-031857.5,4348,55559,202,27.972687818280875,-3.3159580042874865,2.4256481961334786,39627706685463295,59217.19524616,19.84745216369629
36,28.75680277124788,-2.612468236215478,0.4232058,015501.63-023644.8,7892,57333,864,28.756826639199605,-2.6124578562221927,1.3122267744644025,39627724813238559,59217.19524616,18.56797790527344
37,29.12070822278946,-2.2285856435430667,1.8588042,015628.97-021342.9,7841,56960,356,29.12070679441276,-2.2285902631736163,1.2542371855526564,39627730857234212,59217.19524616,18.895069122314453
38,28.99588485315968,-2.7659884324929185,1.0947645,015559.01-024557.5,7841,56960,375,28.99589219858971,-2.7659895524413214,0.6605809082048911,39627718773448603,59217.19524616,18.815330505371094
39,29.460987744084377,-1.7327729623804742,0.325224,015750.63-014357.9,7841,56960,732,29.46098179235227,-1.7327642160079186,1.2081051853535685,39627742941028388,59217.19524616,18.49201393127441
