Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
162106.25+371950.7,2.608010339,,,,0.116055477,,0.605460386,,2.069184557,,,,0.393186376,,2.09171784,,2.338597448,,1.348589113,,0.010083957,0.208611949,55828,59312.45872,"(16.54800033569336, 55238.5437381, nan)","(16.237000465393066, 60351.54291592, 0.22500038146972656)",55238.54374,60147.14052,22,18,0.191681371,,0.044499623,0.187972952,,0.190019965,0.021781767,0.042770037
162829.18+432948.5,8.003769976,1.463773335,-7.48757759,1.369369242,0.774635435,0.141669575,0.793081087,0.1676125,17.71902886,2.046084414,-9.926258532,1.146223252,0.592071993,0.06836883,1.023951156,0.158548276,10.78415874,0.771285197,0.908516122,0.11535977,,,58021,59354.40581,"(14.152999877929688, 55237.2192957, 0.05999946594238281)","(14.425500392913818, 60512.843773225, 0.05800056457519531)",55237.2193,60512.81188,24,24,0.976741783,0.103456081,0.09678382,0.578222886,0.059647045,0.033414472,0.077101894,0.056103819
164331.90+304835.5,32.53056436,1.102713139,-69.99847576,2.372791263,3.802784482,0.128905861,1.321666869,0.051282784,58.20386764,1.388547818,-60.41748417,1.441357237,3.584480757,0.085513612,2.031098143,0.083726825,55.28759798,0.823547599,1.676382506,0.049092019,,,55450,59382.45074,"(12.69950008392334, 55248.53574675, 0.01900005340576172)","(13.496500015258789, 60361.400034185004, 0.026500225067138672)",55248.53575,60361.40003,23,23,2.877263985,0.054326676,0.116898817,1.764799387,0.059328534,0.061584924,0.341611654,0.427845602
164709.87+532202.2,1.294868012,1.289285149,-1.591154998,1.584294684,0.096316848,0.095901575,0.334135345,0.340013479,3.18335143,,,,0.180125469,,0.883649089,,2.023124814,,0.608892217,,,,58040,59380.45398,"(16.068500518798828, 55233.346628800005, 0.18450021743774414)","(15.892000198364258, 60508.732484465, 0.1035003662109375)",55233.34663,60348.22111,24,23,0.288256987,0.060532662,0.074383526,0.203842759,,0.056583595,0.016572619,0.022706812
164725.15+351754.3,3.674206268,,,,0.201759504,,1.140917714,,3.618831186,,,,0.202993145,,1.058731821,,3.646518727,,1.099824767,,,,56213,59392.41332,"(16.642499923706055, 55248.17098725, nan)","(15.911999702453613, 60523.26121865, 0.22599999606609344)",55248.17099,59997.10161,23,11,0.176839663,,0.054912405,0.191732354,,0.056093566,0.038866591,0.040247973
164900.95+452016.8,3.501082605,1.211243875,-5.122618028,1.772234594,0.193937842,0.067095253,0.693558494,0.25766515,3.311593224,1.153004873,-5.769814463,2.008889299,0.289257661,0.100711491,1.227409482,0.500803733,4.42627708,0.789500777,0.960483988,0.281600652,2.003274415,0.281520818,57575,59392.42928,"(15.637999534606934, 56705.66206081, 0.11199951171875)","(15.717999935150146, 60518.83572047, 0.180999755859375)",56705.3986,60519.18584,22,22,0.279627232,0.037859126,0.055393678,0.235665167,0.050132922,0.087346978,0.025907983,0.026467982
213135.84+001517.0,3.789514556,,,,0.239354415,,1.094112014,,,,,,,,,,3.789514556,,1.094112014,,0.714041491,0.231444769,52590,59404.45298,"(16.389500617980957, 55332.86172595, nan)","(15.609000205993652, 60446.34022204, 0.14969338839794685)",,,23,7,0.218765914,,0.063162289,,,,0.026633457,
213400.68+013828.4,2.183887332,1.076253584,-5.488578754,2.704856826,0.143223431,0.07058273,0.52897427,0.265625009,1.365478432,1.073236669,-3.504258315,2.754271641,0.276238477,0.2171175,1.507261757,1.350466068,3.135550708,1.037196385,1.018118014,0.688170627,,,,,"(15.937000274658203, 55333.8207705, 0.21199989318847656)","(15.735000133514404, 60446.91591657, 0.14567965563713775)",55333.82077,60446.85187,23,18,0.270756895,0.026094812,0.065581877,0.183271735,0.07882937,0.202301604,0.027686438,0.051150168
213628.50-003811.8,1.568138924,1.093446842,-3.545449079,2.472204495,0.177815203,0.123988678,0.610645522,0.43859361,2.044479054,1.016645182,-11.15895811,5.548944594,0.573955165,0.285407058,3.556171302,2.100340173,4.579256292,1.563884878,2.083408412,1.072822585,,,,,"(15.96500015258789, 55333.622696549995, 0.18800020217895508)","(15.583499908447266, 60446.916362289994, 0.2624998092651367)",55333.6227,60446.78813,23,21,0.291192184,0.050153083,0.113392507,0.16139694,0.051434476,0.280734187,0.01521901,0.027833564
221044.76+245958.0,5.972510309,1.126868547,-11.49766369,2.169331638,0.793231601,0.149663658,0.291219455,0.055438975,7.669583505,1.180401179,-12.22880136,1.882095884,0.597197681,0.091912794,0.563148521,0.090469074,9.342139717,0.825812643,0.427183988,0.053052175,,,,,"(13.657999992370605, 55354.1916108, 0.014500141143798828)","(13.487000465393066, 60467.53263233999, 0.034000396728515625)",55354.19161,60467.53263,23,23,2.723827641,0.068990677,0.132813768,1.06046213,0.048835341,0.077865725,0.179239635,0.1159195
221925.57+272806.4,5.12110571,1.516967276,-4.489452999,1.329859932,0.418062292,0.123837869,0.609903663,0.198758831,2.402841086,1.05772876,-6.971638667,3.068909869,0.178314308,0.078493818,0.496925136,0.221595136,4.746259615,0.95546831,0.553414399,0.14883672,,,,,"(14.730000019073486, 55357.5319322, 0.06500005722045898)","(14.654500007629395, 60471.11541227, 0.08031967317705017)",55357.53193,60266.88722,23,22,0.685456273,0.093120986,0.081635162,0.358835355,0.025577101,0.07420978,0.077432731,0.038627526
223440.56+272437.9,2.431770224,1.392835643,-2.508191313,1.436607054,0.329235602,0.188575005,0.158243973,0.091184992,1.708763707,1.152098443,-2.986679082,2.013706346,0.159438212,0.107497903,0.272331102,0.185285083,2.408851082,0.765921627,0.215287537,0.10325365,,,,,"(13.871999740600586, 55360.971896250005, 0.04049968719482422)","(13.966000080108643, 60474.21812728, 0.06850004196166992)",55360.9719,60474.25015,23,23,2.080556984,0.131264151,0.135389273,0.585457227,0.053383108,0.093306179,0.030871667,0.021274853
224657.70-003242.5,4.624469196,1.271935218,-5.883438134,1.618207809,0.650992842,0.179052057,0.433507329,0.12343824,4.972328403,1.278067369,-6.247431583,1.605814781,0.478515894,0.122995808,0.572533696,0.156235572,5.431916829,0.726658148,0.503020513,0.099557211,,,,,"(14.229499816894531, 55349.5991815, 0.053499698638916016)","(14.229999542236328, 60465.48981413, 0.0710000991821289)",55349.59918,60465.48981,23,23,1.501688203,0.11064837,0.140771365,0.835786429,0.076594019,0.096235778,0.194917884,0.097455403
