Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd
150020.24+340038.9,9.686226883593509,3.1213481315738107,-3.2758877649052036,1.0556418177186973,0.30200265577861374,0.09731915602158468,0.3553790301399096,0.12083468305240569,4.033064753298455,1.1787232454120449,-6.463141144829847,1.8889492660784435,0.20936298370201278,0.06118945038424064,0.34721967508024143,0.10318030663776179,5.864580136656754,0.9941928769386486,0.3512993526100755,0.07944683175910461,55216.1807054,60489.255832355004,55216.1807054,60489.25576865,25,25,0.8498043783273255,0.092189561258474,0.031178565132533143,0.6029698163090258,0.032393379474544126,0.0519116345778442,0.0654584147986017,0.05716351318002555,2,2.0,363.37651369999367,2721.2967190199997,4747.891595749999,3082.1529738549943
115546.03+523425.0,2.860295975743798,,,,0.16282267255222083,,0.8787420529422377,,1.829598393483499,,,,0.1917261891832279,,1.1086289648787153,,2.3449471846136483,,0.9936855089104766,,55333.0050444,60430.73419483,55333.0050444,60272.33289197,22,12,0.1852906345008205,,0.05692511332149116,0.1729399061878226,,0.10479140660928715,0.023318642829830316,0.04392253588331757,17,9.0,190.37330015000043,2384.197479375005,0.0,1654.9814334600014
162501.32+421535.3,2.5535995973449097,1.1647463110023089,-4.276036934054672,1.9503833920667306,0.10582770976292058,0.048270071265810885,0.44588178612699564,0.20862221513172385,2.0883688470817092,,,,0.30880413136369844,,1.6139027089947666,,2.972668459493763,,1.0298922475608812,,55236.855618350004,60512.68415546,55236.855618350004,60512.68415546,24,20,0.237344769523236,0.024749016763653497,0.04144256204964722,0.19133999196025875,,0.14786857781144455,0.019496807772041574,0.029096033198791338,5,16.0,4179.9635350099925,2555.370800424993,0.0,5275.828537109999
163110.08+435320.0,3.9552202406556987,1.2347979471551656,-5.460147714374729,1.704628005179343,0.2792518262940362,0.08718088017016276,0.36899155511738085,0.11786512345540912,6.409699085215869,2.310145563837704,-3.0778986827939017,1.1093179092289287,0.21757085210566918,0.07841559051837663,0.3778275409053979,0.14385610814682392,4.72574143076005,0.82907483664758,0.37340954801138937,0.0929875894653549,55237.715404350005,60513.608691125,55237.715404350005,60513.608691125,24,24,0.7567973370154846,0.05114363949511114,0.07060335690630004,0.5758469898311238,0.07068811371925132,0.033944004112065385,0.03436182064846072,0.03145065375257172,0,0.0,4180.541901689998,0.0,2721.5334628899946,0.0
133316.67+321800.6,2.5349329267141347,1.7382408961797087,-1.7829189309463078,1.2225738076474832,0.12913316428591715,0.08854851536676857,0.2212371387468571,0.15416947939284206,3.2696267213266563,1.1140162339944495,-6.659792055575561,2.2691019793012095,0.22587196664729492,0.07695833778457808,0.6147715420675018,0.21701447254238482,3.561817658640665,0.8256067500015195,0.4180043404071795,0.1331010045690015,55371.4364376,60465.882205535,55371.4364376,60465.882205535,24,24,0.5836866496166057,0.07242795061768625,0.050941452109071736,0.36740797384289825,0.03391576865499809,0.06908188178607955,0.021897850372372574,0.02776324029337074,5,8.0,186.46456369999942,4363.109355590001,5094.445767935002,1820.897278859993
154524.50+421535.5,2.319886416623557,1.125586064348239,-4.490106578493588,2.178555534432804,0.25683657286289685,0.12461457817844022,1.3399152845217204,0.7632355786873389,,,,,,,,,3.4049964975585727,1.2260758749831469,1.3399152845217204,0.7632355786873389,57048.70338789,60132.51641766,,,10,2,0.19168120240868367,0.057200551562200205,0.11071083955769943,,,,0.03457919611868089,,9,1.0,2351.38447782,3083.8130297700045,,
120842.20+565335.3,3.78422416030812,1.2055177250117513,-5.620784515223334,1.7905798056692281,0.2720467125099424,0.08666429896034716,0.29111450852942183,0.09395628157969371,1.7073581275789589,1.0905002863382254,-3.925315181297757,2.507123291844363,0.2539901958029571,0.16222512241352688,0.245087767675433,0.1572852784318573,3.7594204961020425,0.8708583086817362,0.2681011381024274,0.09160573352644141,55331.4844399,60428.456754435,55331.4844399,60428.456754435,23,23,0.9345007017485962,0.04840013200526208,0.07188969283674562,1.0363234289983558,0.0647056819827102,0.14876210895666997,0.06168602396697609,0.06880245021389109,4,6.0,4939.102647690001,2182.0593707049993,3270.649757469997,1464.2923969300027
150209.84+321742.2,5.24310274184588,1.5219304170361745,-4.569992786034907,1.3265448664951724,0.16489641810499395,0.04786495453757823,0.7155358400462543,0.2359894520147379,3.754135621171304,1.0855210844025969,-8.889269351281163,2.57036246941415,0.432627640511897,0.1250957538194867,1.9447981916899582,0.7051725800606822,5.614125125083314,0.8609991552688945,1.3301670158681063,0.37180619586407365,55217.33891295,60490.85283983,55217.33891295,60490.59740019,25,24,0.23045165437741677,0.03608242415806177,0.03145015961425557,0.22245374474354046,0.04866852644638839,0.1152402800985958,0.016643368571440442,0.04334339244685059,4,18.0,4178.236485039997,2921.588935220003,3285.5624882050033,5273.258487240004
162239.62+443407.6,2.2840230822036744,,,,0.15878131567290787,,0.8586536809643884,,2.3023648934781233,,,,0.24842188228279044,,1.4361407262533565,,2.293193987840899,,1.1473972036088724,,55233.64612775,60509.273032825,55233.64612775,60347.70736391,24,13,0.18491892504854135,,0.06951826227592772,0.17297878804041739,,0.10789857115459484,0.02429343507591089,0.029126926099054207,11,10.0,178.97179210000468,3287.049246460003,178.97179210000468,4746.2086621800045
141811.08+520618.0,2.1064701194798467,1.21005369461672,-3.0916386501879116,1.7759799849444404,0.09702644712900549,0.055736471046158705,0.3958734618167242,0.2329890401133832,1.6684116300774532,,,,0.16081197202217176,,0.7642281656957179,,2.288840133248404,,0.580050813756221,,55363.1056293,60459.580061515,55363.1056293,60459.58006123,24,22,0.24509459836922687,0.031383501795434005,0.04606115521494525,0.21042403203731178,,0.09638626890577737,0.02670314298858542,0.024881136551252542,1,16.0,4732.622310844999,4365.7025730099995,0.0,3478.719958419999
