W2 modified deviation,W2 epoch measurements
-5.123897868819745,12
-0.06908232441639077,12
2.6859011945117337,1
5.931460439436047,3
-0.6621683292594431,4
4.075084403216126,3
-0.8933739047212856,4
-1.1066260952787144,3
0.7139813362624464,3
0.06908232441639077,2
0.5612812487541415,2
-2.1050004650000833,1
-2.4041451992558303,5
-4.843607493499713,13
0.21792853546588684,7
3.9447699323829903,5
1.4412591254416587,5
0.12684086329321587,5
0.2545021381290375,11
0.5679722812600977,7
-0.8718234384179767,10
-0.004440947356317136,12
-3.298196174650507,8
1.872180970246431,5
0.45677801807190765,5
0.0,5
2.9468557280150645,5
-0.2690709927193585,7
-0.9425336597263259,6
1.0,3
1.4233350520389314,6
-2.7136611148417304,2
-1.847611178682674,6
-0.3982217341895377,4
-3.220266778694036,2
-3.2521812803242156,14
-0.9225407342988111,8
0.998366179007756,2
0.42751901887594385,3
2.172844995727206,1
-2.0828911167939275,2
3.1967791697321037,1
-0.876761636709296,1
1.001633820992244,1
-0.42751901887594385,1
-1.749587321219386,17
-1.8195692583245902,13
0.8102623696909169,5
2.560477570986949,12
3.2621302370224523,11
4.932364798530769,7
3.4697237997204833,8
0.3033672103484285,21
-0.13237114536632533,11
-0.033743351680265044,3
0.024678480337657464,2
-0.16789948123070297,2
-0.02467848033765831,1
-1.189737630309083,1
-2.1363038609533183,20
-1.48806713754145,13
-0.04101437477088318,1
0.32012426996128407,4
-1.1804327361424505,1
0.3435337448714442,1
-1.0,3
-1.412324986365652,1
0.6810035737800308,2
-0.12147434378690974,4
-1.3845861581751404,3
-0.20549667951407155,2
0.0,5
2.5628630085265955,2
0.7687387536166909,4
10.710746351385799,1
1.3887861033387723,5
0.42069356146455616,1
1.7974325899336552,4
2.052147341602523,12
-0.38100822020443625,11
0.9989980302316127,6
-0.2450183347580624,7
0.055084850308601364,8
1.7899662099533222,9
1.0223921836229883,8
1.126222621258644,9
2.892857485126704,7
1.953857869386683,12
1.0116206175166325,8
1.5974376236913117,8
0.2966212244878825,8
-0.055084850308601364,9
0.8359480054840687,4
-1.0426142980390065,10
-1.375171018200961,3
-0.6154059359451318,7
-0.2010500429707039,4
-1.0010019697683874,10
-0.6814115835714306,4
-0.9822775744007328,11
-0.1447997687350229,6
-1.4474319425793056,8
3.164387020226088,2
2.6361890593416137,11
1.3508884892554196,10
0.553540557096155,5
1.14998686489813,10
1.5437110476533369,8
1.3811100078563487,9
0.17502798693533292,7
0.3582898771886694,10
-0.0923801936660092,9
-0.6149708104845553,9
0.0923801936660092,9
0.12983838074368464,9
-0.689661911419314,9
-0.8500131351018702,9
-1.8555353807813997,8
-1.4812614711901018,7
-1.7757438764908064,7
-1.4450063308754035,9
-2.053158429928164,8
-0.7031592393192707,9
-0.22890279437078612,8
-5.457153744538193,15
-4.389898899435951,10
-0.22788601012987386,3
-0.4698366623099467,3
0.9927227139576477,3
0.12322447727574223,3
1.0497272665946495,2
0.8267514543403564,1
-0.12322447727573851,1
3.48759504505007,1
-1.0072772860423524,2
5.103998205521788,1
-1.0,6
-0.6456712147606793,14
3.341998577350117,2
-0.4874351919195962,1
0.7737911731290182,1
-1.20818098787153,1
-0.035433685495237593,2
2.7643174792896685,3
1.9258688888328053,1
4.04436723850356,1
-1.2212324247144262,1
4.837387375491202,3
-0.4521821937069566,1
0.8234228393472198,1
0.0,1
-4.819864589452326,15
-5.198812976286961,10
1.4459400877157373,14
-1.240989730980102,7
0.06111203399067628,7
