Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
155028.39+432634.5,2.997355139,1.743639913,-2.098424273,1.220708307,0.114572254,0.066649678,0.299571112,0.179439285,2.187422225,1.06848834,-5.811627374,2.838800857,0.163419021,0.079825155,0.556681979,0.277100951,3.273707253,0.926379598,0.428126545,0.165063165,720.5584047,2716.708909,25,25,0.38245428,0.29355903,0.026599232,0.054672063,0.013222087,0.013715616,0.050073626,0.011422443
113016.42+513021.9,3.088879671,1.216790713,-4.455724257,1.755226643,0.16892513,0.066544039,0.414490555,0.167769572,1.290731105,1.060564688,-3.653700196,3.002163186,0.125790418,0.103359154,0.437474077,0.363259003,3.122258807,0.958487789,0.425982316,0.200064822,2920.032299,3653.515544,23,23,0.407548804,0.287537993,0.037034105,0.051921391,0.014942751,0.032013557,0.034428227,0.006025856
100043.13+020637.2,4.168142256,1.211425291,-6.09576096,1.771666738,0.166438081,0.048373421,0.217306691,0.063631151,1.770648297,1.312178405,-2.084107934,1.544474659,0.115929048,0.085911806,0.301367932,0.227547385,3.529664862,0.737968851,0.259337311,0.11813841,3115.687877,1095.343554,23,23,0.76591328,0.384676124,0.042081303,0.05293927,0.017212718,0.032116511,0.054402733,0.013663276
100043.13+020637.2,4.168142256,1.211425291,-6.09576096,1.771666738,0.166438081,0.048373421,0.217306691,0.063631151,1.770648297,1.312178405,-2.084107934,1.544474659,0.115929048,0.085911806,0.301367932,0.227547385,3.529664862,0.737968851,0.259337311,0.11813841,3115.687877,1095.343554,23,23,0.76591328,0.384676124,0.042081303,0.05293927,0.017212718,0.032116511,0.054402733,0.013663276
154713.96+434217.3,1.187082634,,,,0.095345243,,0.186861243,,3.951467688,1.482718254,-3.609506723,1.35440346,0.127276169,0.047758128,0.571810082,0.232899773,2.916019015,,0.379335663,,2921.737494,4909.870702,25,24,0.510246221,0.222584689,0.012867034,0.062580743,,0.018021278,0.036245687,
154755.47+424120.0,3.881388454,,,,0.167482794,,0.910731424,,2.95774094,,,,0.186971181,,1.093149311,,3.419564697,,1.001940367,,2558.036887,1284.591742,25,9,0.183899215,0.171039014,0.021137506,0.03423623,,0.051818775,0.063765592,
164627.13+325855.7,1.711337086,1.307729461,-2.030759889,1.551818491,0.157472798,0.120333872,0.280560025,0.217867479,2.84559559,,,,0.08633776,,0.35768898,,2.195897521,,0.319124503,,162.9689413,1820.975042,23,23,0.561280239,0.241376627,0.021650528,0.057264988,0.017512604,0.012078569,0.035764466,
160433.83+535446.8,3.844884553,1.209270413,-5.654639865,1.778463979,0.212272645,0.06676274,1.015580988,0.367825106,2.956183068,,,,0.164820107,,0.824735626,,4.151902495,,0.920158307,,4910.323716,4178.458207,25,24,0.20901597,0.199845989,0.028966548,0.046678981,,0.025621336,0.036421521,
124331.99+572854.4,3.719229043,1.349467169,-4.10454521,1.489273432,0.454326233,0.164845544,0.158777193,0.05793644,2.751784701,1.293399227,-3.35463395,1.576751611,0.285525627,0.134203314,0.109685641,0.05167925,3.482548226,0.7158048,0.134231417,0.038818089,4748.291114,3442.350733,23,23,2.86140738,2.60312676,0.083369379,0.088173052,0.013109503,0.070041262,0.085113795,0.021588944
112016.38+515900.3,5.208492266,1.073693161,-13.32374099,2.746593229,0.523656545,0.107948025,0.674942788,0.143273996,1.843005414,1.280617481,-2.303790728,1.600795448,0.209337897,0.145459025,0.22067464,0.154786499,5.669757351,0.897883573,0.447808714,0.105458876,1991.882945,3270.727359,23,23,0.775853235,0.948626887,0.036989164,0.066708982,0.027488566,0.030964245,0.088675979,0.021764495
