Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
164729.85+354605.8,12.68877068,1.613352564,-10.02225513,1.274310287,0.929173953,0.118142665,0.526159251,0.072378523,14.29339994,1.746599851,-9.981456081,1.219696488,0.85826992,0.104877364,0.652722428,0.090463264,11.74647046,0.740145415,0.589440839,0.057927223,4911.743874,4911.743874,24,24,1.765955747,1.314907966,0.081373293,0.070884646,0.018476636,0.068503214,0.069335257,0.013194706
140750.73+513521.1,5.767908899,,,,0.240295548,,1.040796809,,3.519350024,,,,0.159031272,,0.814680302,,4.643629462,,0.927738556,,4001.445668,5097.132511,24,24,0.230876522,0.195206968,0.035036112,0.046984465,,0.01801555,0.044666905,
100033.11+021729.9,0.931884983,1.034627183,-3.510842187,3.897919625,0.122315068,0.135800551,0.145512479,0.161668055,3.293139769,1.242421175,-4.466489272,1.685097274,0.157167377,0.059295411,0.480470836,0.188494452,3.050589053,1.13598509,0.312991657,0.124163922,1819.251207,2751.733933,23,22,0.840581298,0.32711117,0.017229816,0.06206833,0.015515633,0.014090509,0.040644682,0.007432771
142120.51+522737.3,1.956800889,,,,0.166129905,,0.914257472,,1.658666605,,,,0.222911873,,1.177708395,,1.807733747,,1.045982934,,1825.69713,4540.853961,19,15,0.181710197,0.189275948,0.027748304,0.041168711,,0.045360603,0.068637699,
141500.75+510946.1,1.011475325,1.138116855,-1.861299387,2.094342938,0.099563236,0.112029027,0.186861243,0.211092383,1.033709611,1.229884093,-1.443786406,1.717784102,0.068615535,0.081637197,0.158243973,0.189072255,1.337567682,0.796279608,0.172552608,0.141693606,1462.449641,3111.097968,24,24,0.532819081,0.433605994,0.015184574,0.051601117,,0.018933655,0.059234238,0.005837442
125731.87+272313.3,6.360190183,1.766013041,-4.369431235,1.213245566,0.329815074,0.091578664,0.519147693,0.156792454,3.227314552,1.230789923,-4.497835189,1.715324037,0.363558573,0.138649091,1.404361448,0.692178362,4.61369279,0.751995148,0.961754571,0.354857281,4384.762706,1825.119812,13,13,0.635301049,0.258878206,0.054364602,0.069528225,0.006430639,0.055417762,0.079858565,0.007400617
155018.40+425153.1,2.829311492,1.223017332,-4.018278479,1.736968248,0.134527732,0.058151868,0.599559771,0.274174967,2.503182663,,,,0.193924218,,1.005395038,,3.116924211,,0.802477404,,3107.315991,5094.443799,24,21,0.224377516,0.192883604,0.020143724,0.04611978,,0.033413422,0.07354423,
112523.69+513149.0,4.256852552,1.154582808,-7.376093545,2.000612118,0.480774296,0.130400039,0.271745069,0.074382029,3.075123927,1.064177889,-8.448825641,2.923801983,0.389135297,0.134664224,0.194538431,0.067470856,5.789223916,0.968781545,0.23314175,0.050212057,3116.054543,2384.54504,23,23,1.769210743,2.000300373,0.114077904,0.077806198,0.022967823,0.087099466,0.067148652,0.01280343
115918.06+514640.1,1.676659413,1.084644105,-3.99144852,2.582099306,0.130687722,0.084542911,0.706082269,0.473540122,1.702526768,,,,0.184358391,,0.834003152,,2.456878234,,0.770042711,,731.3854563,3652.842368,19,10,0.18508852,0.221052391,0.0249552,0.040842621,,0.048319158,0.083550418,
112523.69+513149.0,4.256852552,1.154582808,-7.376093545,2.000612118,0.480774296,0.130400039,0.271745069,0.074382029,3.075123927,1.064177889,-8.448825641,2.923801983,0.389135297,0.134664224,0.194538431,0.067470856,5.789223916,0.968781545,0.23314175,0.050212057,3116.054543,2384.54504,23,23,1.769210743,2.000300373,0.114077904,0.077806198,0.022967823,0.087099466,0.067148652,0.01280343
162659.42+424450.0,2.434225947,,,,0.103126234,,0.610645522,,,,,,,,,,2.434225947,,0.610645522,,4017.932653,,12,5,0.168880685,,0.031424684,0.055924464,,,,
142854.61+342244.4,2.936214212,1.136775475,-5.431304806,2.102766914,0.259600163,0.100505984,1.045503236,0.452045735,2.140908505,1.299397034,-2.580283212,1.566069893,0.198235276,0.120316365,0.836538085,0.575621484,3.272177684,0.784812666,0.941020661,0.365952674,1623.112474,1095.477888,20,15,0.248301635,0.236971011,0.028317485,0.062268247,0.01865534,0.015057649,0.070553488,0.009858504
023109.23+015402.2,2.681099422,1.106003815,-5.674434606,2.340810739,0.248894536,0.102673666,0.74582295,0.322905213,2.810247665,1.456988449,-2.652103246,1.3749976,0.119372553,0.061889361,0.425607268,0.230987418,3.454471235,0.818385342,0.585715109,0.198508793,2922.01334,1462.678138,25,15,0.33371799,0.280475834,0.041293117,0.053861764,0.014221954,0.027687343,0.055039454,
162540.29+445036.6,6.441652084,2.538278325,-2.761110633,1.087992208,0.230280817,0.090740201,0.415793855,0.175396942,2.069255155,1.106432398,-4.370220588,2.336760469,0.167803072,0.089724438,0.468926303,0.255733989,3.910559615,0.945754528,0.442360079,0.155051572,3283.953563,1458.086889,24,23,0.553834105,0.357845297,0.032405653,0.055706938,0.007258641,0.037254202,0.044033885,0.01328266
122444.60+335739.7,2.014753986,,,,0.240448313,,1.385613576,,,,,,,,,,2.014753986,,1.385613576,,2558.207482,,13,3,0.173532013,,0.041355895,0.065636225,,,,
115850.24+532914.2,4.872226487,1.419110949,-4.838771028,1.409366532,0.212570647,0.061914472,0.828940566,0.280107593,5.204187145,,,,0.162369746,,0.738600707,,4.97172822,,0.783770636,,3289.014339,3444.042383,23,23,0.256436535,0.219834268,0.033497028,0.050862728,,0.017309464,0.044221721,
123144.58+535445.2,1.090091356,,,,0.101799739,,0.553817994,,,,,,,,,,1.090091356,,0.553817994,,3078.421445,,14,4,0.183814431,,0.029719325,0.056500707,,,,
140819.70-020238.5,4.574529636,1.252416006,-6.066856153,1.660985578,0.413814266,0.113294186,0.280560025,0.077899862,4.800629818,1.34998587,-5.293468549,1.488577128,0.406643975,0.114352416,0.386117117,0.112173312,5.183871039,0.72308984,0.333338571,0.068284772,2556.196131,2920.229681,25,25,1.474958045,1.053162256,0.104687761,0.079620896,0.018836671,0.106129096,0.068104338,0.020413968
121635.60+444315.1,2.607036178,,,,0.234878069,,1.595375559,,,,,,,,,,2.607036178,,1.595375559,,2922.243133,,15,6,0.147224312,,0.056700121,0.060525365,,,,
120306.40+564015.8,1.671950834,,,,0.125820878,,0.630047143,,,,,,,,,,1.671950834,,0.630047143,,2921.864956,,16,4,0.199700736,,0.035265133,0.047933871,,,,
113143.20+331538.9,2.71189719,1.083844038,-6.487905598,2.592973594,0.262839903,0.105047294,0.561709575,0.229701433,3.73350006,1.322373669,-4.314895993,1.528299118,0.170514613,0.060394812,0.492794987,0.183393236,4.31204971,0.865397317,0.527252281,0.146965836,3077.828807,4381.964671,23,23,0.467928471,0.346015316,0.034117811,0.048955184,0.01428186,0.028467536,0.046354145,0.010839861
164721.34+334013.2,2.337486014,,,,0.219828515,,1.477421274,,,,,,,,,,2.337486014,,1.477421274,,3471.825747,,18,6,0.148792033,,0.031805727,0.041628195,,,,
105531.27+314458.4,2.08601069,1.534907976,-1.79141371,1.318140509,0.113967422,0.083858393,0.572533696,0.459299105,,,,,,,,,1.9387122,1.011612191,0.572533696,0.459299105,2550.768329,,10,1,0.199058016,,0.03376541,0.063080475,0.005741885,,,
112843.94+530928.2,1.508828058,1.180200049,-2.407210821,1.882911915,0.108323184,0.084730017,0.460831049,0.37109915,2.954770492,1.29584192,-3.585278576,1.572357071,0.228434674,0.100182138,1.155757241,0.629066905,2.614021987,0.753729995,0.808294145,0.365184799,3273.629867,367.1450513,23,22,0.235060515,0.197649355,0.010369304,0.035438311,0.01002448,0.020407636,0.044738249,
023516.79-022753.8,3.012689503,1.22503814,-4.257528657,1.731222212,0.282644367,0.114930573,1.246982517,0.624897056,1.888451533,,,,0.224579459,,1.024883812,,3.052889898,,1.135933164,,2556.753524,2360.673251,25,16,0.226662654,0.21912675,0.031018016,0.056217289,,0.035608441,0.078128356,
112934.31+534311.3,4.328895474,2.474706402,-1.912340662,1.093230757,0.195211944,0.111597115,0.690441199,0.466833186,3.236604387,1.479032943,-2.970063805,1.357231742,0.188436382,0.086109881,0.905460383,0.497396266,3.111976082,0.842204759,0.797950791,0.341077802,2183.297038,2547.310841,22,21,0.282735075,0.208111129,0.032613996,0.044083276,0.011988839,0.020224344,0.050717749,
121937.95+313025.6,1.808108534,1.117130788,-3.630906944,2.243337643,0.103188065,0.063754228,0.407990176,0.256209555,2.938342756,1.510234488,-2.596333061,1.334450081,0.17933333,0.092172834,0.829784966,0.502217794,2.743422824,0.803978786,0.618887571,0.281898053,887.0939263,1983.20296,24,21,0.252918014,0.216120245,0.02074072,0.03786021,,0.034012312,0.057743842,
155043.59+431258.6,2.93925023,1.889095701,-1.833924032,1.17868767,0.093266447,0.059943601,0.39187329,0.265417094,1.933682633,1.06479336,-5.286663241,2.911131239,0.20015935,0.110218887,0.850120812,0.487675922,2.998380034,0.954150708,0.620997051,0.277612157,1094.798334,363.6899175,22,19,0.238001541,0.235448124,0.016263343,0.037815435,0.003758495,0.024101667,0.046570494,0.008458802
154600.61+424039.4,2.425374998,,,,0.15906302,,1.037981732,,,,,,,,,,2.425374998,,1.037981732,,2923.747271,,17,7,0.1532426,,0.028424191,0.058223938,,,,
082811.85+321357.5,4.355242796,1.416369781,-4.342012528,1.412067162,0.145497468,0.047317274,0.5848918,0.2058846,2.590124382,2.236066914,-1.295062961,1.118034122,0.106833341,0.09222974,0.399587028,0.366335697,3.145610667,0.800391801,0.492239414,0.21011325,2552.737246,1095.983062,22,21,0.248759631,0.267359383,0.031596664,0.039274853,0.013022499,0.025680646,0.050580876,0.013980308
160836.53+545121.6,2.516597357,1.212860953,-3.666812235,1.767201007,0.20901925,0.100735736,0.631548338,0.323223939,3.784103321,,,,0.153462054,,0.780738886,,3.322504304,,0.706143612,,2190.505229,4365.378494,25,24,0.330963187,0.196560023,0.026685198,0.048882636,,0.032469017,0.044058354,
111938.02+513315.5,36.72085176,1.186785969,-57.45627704,1.856936867,6.498111789,0.210013317,2.090295161,0.101719782,41.47117228,1.545798052,-35.18182356,1.311368629,3.802171827,0.141722297,1.571579342,0.091432715,42.70753116,0.74857593,1.830937251,0.068386504,1826.608487,1826.608487,23,23,3.108705368,2.419331768,0.91575825,0.093710623,0.038908365,0.553127407,0.077045049,0.027751681
082012.50+352053.8,15.98826209,1.079928503,-39.21265211,2.648621873,1.182552223,0.079875589,0.839925602,0.059517157,12.14191106,2.090236124,-6.615016482,1.13877843,0.67884706,0.116863864,0.584893192,0.113194163,18.48946044,0.930300582,0.712409397,0.063943746,4730.395291,2906.596187,23,23,1.407924965,1.16063423,0.12332887,0.066230473,0.019476448,0.089354718,0.073181852,0.018942122
022214.03-052931.7,8.718455214,2.353378466,-4.0924994,1.104691109,0.439806845,0.118717357,0.693557007,0.221050819,4.550202744,,,,0.249186695,,0.869820214,,5.787052453,,0.78168861,,725.0206409,4001.14874,25,25,0.634132221,0.28648069,0.104574812,0.051656044,0.013848724,0.068054031,0.050174014,
142758.30+532230.6,1.473894048,1.306326646,-1.753531084,1.554171674,0.095291143,0.084457468,0.266485138,0.239635196,1.844554318,1.182492094,-2.922759507,1.873699233,0.10239455,0.065642277,0.394440617,0.258407108,1.998684739,0.751289527,0.330462877,0.176209577,2191.213553,526.7929061,24,24,0.357585206,0.259594336,0.016130957,0.051535287,0.012719068,0.016551978,0.040072278,0.006295956
161315.68+545443.3,2.532828575,1.517212731,-2.219786646,1.329694632,0.108206864,0.06481798,0.150271,0.090588199,1.739164894,1.035955467,-6.427974692,3.828904059,0.148309107,0.088342187,0.432187723,0.259072849,3.229938702,1.112534615,0.291229362,0.137226968,2922.125979,731.1388553,25,25,0.720078153,0.343159,0.017717665,0.059520672,0.011342716,0.009324334,0.052179527,0.011681894
160809.66+554011.5,8.827087897,1.430857491,-8.625233828,1.398137254,0.405476769,0.065727166,0.822216983,0.154618636,3.872314188,1.378350618,-4.082116777,1.45302987,0.21622375,0.076964865,0.650441212,0.253663277,6.351688173,0.707693753,0.736329098,0.148536175,2190.306409,2191.243732,25,25,0.493150564,0.332426276,0.111400405,0.053966796,0.008031288,0.056075038,0.054077672,0.010843394
121559.09+532335.4,15.06446056,1.356967722,-16.42337063,1.479374832,1.006386922,0.090652736,0.635309531,0.062280868,15.92503148,1.766698337,-10.93420305,1.213023557,0.700884369,0.077755027,0.740203404,0.096198277,14.58676643,0.734104917,0.687756467,0.057299684,1668.668963,1095.435151,23,23,1.584089129,0.94688077,0.138982053,0.072630883,0.011890511,0.09459839,0.059441471,0.01542998
161433.85+544050.2,34.72963384,1.455204028,-32.85136067,1.376502632,2.021571983,0.08470575,0.983353345,0.050637421,21.19771911,2.994696372,-7.509462389,1.060895262,1.433869504,0.202569143,1.072047777,0.215315597,24.072044,0.938951655,1.027700561,0.110594931,1987.148955,1987.148955,25,25,2.055794077,1.337505226,0.628686429,0.078128884,0.024662013,0.362641599,0.082742846,
160749.75+544056.0,8.576817432,1.553861263,-7.21152344,1.30651107,0.597207427,0.108196017,1.089294663,0.256940553,5.291478547,,,,0.32852453,,1.201910989,,7.026606473,,1.145602826,,4017.540603,4178.52818,25,25,0.548251494,0.273335158,0.084321736,0.066846395,0.005417031,0.053368885,0.048610747,
165451.35+353931.9,3.282838378,,,,0.14394808,,0.681123699,,3.865263149,,,,0.152524798,,0.849268651,,3.574050764,,0.765196175,,5112.968771,2724.308211,23,23,0.211339115,0.179595465,0.023715801,0.04263574,,0.019893585,0.052408544,
121532.90+560919.0,3.132019896,,,,0.122722481,,0.567471942,,1.373647261,,,,0.072666742,,0.38356633,,2.252833578,,0.475519136,,4748.879418,2906.268809,23,10,0.21626176,0.189450262,0.022693906,0.042593855,,0.019810395,0.068206429,
123038.00+324627.0,2.362304943,,,,0.237353327,,1.349632326,,,,,,,,,,2.362304943,,1.349632326,,4937.811515,,10,3,0.175865176,,0.053144267,0.054151149,,,,
100104.86+011421.2,1.294878535,1.16019144,-2.201219029,1.972258715,0.086934644,0.077892117,0.36898863,0.336344472,0.914952439,1.240050768,-1.247722591,1.691059876,0.088903156,0.120491976,0.380383537,0.528421834,1.414693149,0.775937257,0.374686084,0.313192129,2026.002695,1648.246373,20,11,0.235602502,0.233719779,0.020446586,0.048524044,,0.020917166,0.058475812,
115118.98+520927.3,2.219043166,1.091678534,-5.067391418,2.492949446,0.125353461,0.061668779,0.470280405,0.235439388,2.611680102,,,,0.234208678,,1.313129886,,3.299371562,,0.891705146,,2379.241936,2921.912958,23,19,0.266550466,0.17835911,0.021145923,0.037374179,,0.0374407,0.060386092,
074217.52+392612.0,16.19186023,1.897137263,-10.04344632,1.176751527,1.70809362,0.200130683,0.240509465,0.028762108,17.95868168,2.13957088,-9.494424271,1.131151721,1.099206983,0.130957901,0.174897761,0.021084667,13.42210313,0.823147227,0.207703613,0.017831307,1823.856855,1464.449304,22,22,7.10198086,6.284854505,0.201683599,0.124227789,0.022462666,0.113677334,0.106093205,0.01074339
121510.81+562223.0,6.071758543,1.611532516,-4.804597343,1.27520961,0.442485144,0.117441956,0.517748585,0.148312411,6.94134193,1.330830631,-7.904696922,1.515530124,0.274733606,0.052673374,0.429552783,0.085600259,6.430598685,0.71985842,0.473650684,0.085621223,4175.472597,3811.347816,23,23,0.854633227,0.639580552,0.087507085,0.062525352,0.009055903,0.033393356,0.054936079,0.015356757
123152.87+552625.9,5.508175654,1.260870463,-7.172284149,1.641799718,0.379481245,0.086866637,0.911613586,0.23868661,5.173492833,1.225505641,-7.302823368,1.729905023,0.285221477,0.067563741,1.080654263,0.301830231,6.289194001,0.740765487,0.996133924,0.192401135,4364.339817,4937.169097,23,23,0.416274232,0.26393407,0.063784873,0.06768587,0.012982586,0.039607444,0.044892722,0.008875444
113933.38+511550.7,3.925020772,1.545165952,-3.332111648,1.31175496,0.114661087,0.045138719,0.458813415,0.191351295,1.632914433,,,,0.148069979,,0.705296453,,2.963348951,,0.582054934,,1289.080448,4732.885447,23,18,0.249907879,0.209940059,0.020444604,0.035723685,,0.041744503,0.053228267,
120753.37+543807.8,6.192963929,1.525206811,-5.377555478,1.324387537,0.320603893,0.078958516,0.765224885,0.217656852,2.843910599,1.364405959,-3.06381249,1.469906972,0.223450121,0.107203326,0.668783136,0.352507516,4.369560624,0.711621752,0.717004011,0.207144909,1462.316423,1620.471853,23,23,0.418966893,0.334114466,0.042557277,0.040970434,0.011883571,0.042593962,0.049106582,0.013204774
