Object,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,Off spectrum 4000A flux,Redshift
150020.24+340038.9,0.0963644083082052,0.3101333293052133,53121,59348.45952607,6.617091682761351,0.73248
115546.03+523425.0,0.6451909003740978,0.3633668487227887,56396,59308.26450978,0.957081103180768,0.73064274
162501.32+421535.3,1.3920202769791523,0.4317386548528321,56076,59311.40505391,0.6035021605488381,0.7304096
163110.08+435320.0,0.4534008638558139,0.1343468894390875,56097,59311.40505389,3.718620966302355,0.73
133316.67+321800.6,0.3672795408753381,0.1075369615949723,58526,59292.39605585,3.0935575280471608,0.7302734851837158
154524.50+421535.5,0.3146100265547041,0.8567319596569468,57903,59339.39998687,0.256760728341168,1.1224122047424316
120842.20+565335.3,0.6271430820750291,0.094321224568048,53050,59307.33334728,4.474602541033805,1.121402
150209.84+321742.2,0.5824708567281193,0.2184481162642346,55273,59292.46147511,0.8337876584317211,1.119
162239.62+443407.6,0.3613388965401319,0.4083718685268484,57900,59311.4050539,0.5205618904443393,1.12
141811.08+520618.0,0.0839862094074254,0.1305659857549002,56726,59231.5316127,0.90678020473425,1.121
092852.16+313036.8,,,58430,59294.18947301,,1.7163937091827393
155733.58+434806.4,,,52764,59311.38455022,,1.7208259999999995
091639.26+311606.4,,,58155,59251.15305474,,1.7172386646270752
141929.16+001550.3,,,51615,59315.28830797,,1.722161
153807.06+423623.4,0.2334885212220437,0.1222377980182782,52466,59339.3999869,3.591658136566485,1.199211
121330.33+525618.6,0.2367311163149197,0.1482154736376245,52430,59309.26052946,3.3764710665495024,1.20329
022938.45-002437.5,0.1450927207892305,0.2736082124144247,56577,59220.10123117,0.5004905918226803,1.203
103406.80+315542.0,0.5147708873116325,0.7905039634902042,58485,59224.4697416,0.175620987354529,1.2044562101364136
114338.76+541535.0,0.1371852152606421,0.2797436397126104,57430,59308.25597081,0.8680620552261296,1.2019152641296391
122147.47+555655.4,0.0967837068044044,0.1223443892259125,56413,59307.32351869999,2.419302327846452,1.067
123925.26+533433.5,0.8796812918414567,0.3970676040639191,58172,59309.27937463,0.7447519529518484,1.065696120262146
123228.59+570509.2,4.94214334270486,1.765782899893943,58135,59307.3128032,0.1525384841336807,1.0673444271087646
122432.02+452954.4,0.5201071425283139,0.4274824408565238,56367,59335.3873082,0.7125717479951303,1.069
153837.03+435132.3,0.1486283960173694,0.3248962012273331,57901,59338.37569316,0.6961565662572494,1.0676562786102295
135929.42+225638.7,0.6955466632480134,0.1124214293300365,54529,59283.42881282,3.692726765004834,0.5489999999999999
150301.50+345923.5,0.1856698505393487,2.6146702879625208,58220,59348.45952605,0.8699492009392089,0.5496131
103442.44+064719.6,,,52636,59268.44834043,,0.550104
103535.38+331005.9,0.8922028091623191,0.1415404896257536,53436,59224.46974167,4.206927456304741,0.549941
113836.48+552524.7,0.1078120372996262,0.268382601360549,56683,59307.35829035,1.4729951626180164,0.551
143335.68+350133.1,0.259737641178079,0.0692025024431474,58223,59319.37051268,12.088546082417263,0.6182221174240112
113151.82+525653.7,0.0625929741273517,0.3530169472031076,57049,59307.39542858,1.1982244399818285,0.61956304
115226.45+562851.4,0.153094587933315,0.1741966120348157,56658,59307.35829042,2.179288000531897,0.616
115443.89+543842.3,0.3400642650527604,0.1764485142350504,56396,59307.35829046,2.261008739262065,0.6194987
162908.97+325204.7,0.1934845845822598,0.1266869028447945,58257,59293.50919863,2.1253047124318067,0.6198328733444214
142509.20+353527.5,0.1442979069586898,0.4083856308280824,58223,59315.3047105,1.043731996603295,0.4506641924381256
120554.96+562943.5,,,56429,59307.33334728,,0.446
160723.85+444701.9,0.2857513452758026,1.0590048182998704,56103,59318.40806933,0.3964079937253977,0.44617552
154548.42+432054.7,0.1454279363824945,0.1327084280718181,52782,59348.39990541,6.73212125277527,0.445832
123455.23+573242.2,0.2975692306252792,0.1482996913894718,56442,59307.31280332,4.350361817947136,0.45177516
013921.52+323909.7,0.0796241152124125,0.085120199061739,58108,59200.06640136,5.843922244349719,0.5405358076095581
083540.72+325122.7,0.1787870031835429,0.0854224968386749,52642,59293.17628307,7.239689253721083,0.540744
165052.00+355704.8,0.1710097391686426,0.2193653731179192,58250,59315.45878766,1.558279958180827,0.5384607315063477
145959.64+351104.8,0.0247184412202401,0.6002122839981655,55653,59348.45952601,4.10396209069407,0.5379999999999999
121908.03+551555.2,1.011788117070315,0.4954796873149341,56413,59307.32351873,0.7881897803277207,0.5375071
162618.85+433349.1,,,57905,59311.40505389,,1.5205971002578735
090617.42+321558.8,,,58158,59226.37565156,,1.5195355415344238
130834.48+314759.1,,,56362,59291.37345163,,1.519
122241.94+565759.6,0.0146760430723543,0.2272832628992888,58135,59309.26965078,1.7776001309176177,0.5109720826148987
142236.11+530923.1,0.0136943268520477,0.1331193721139947,57544,59318.3246625,2.803314233904273,0.511
142925.58+514528.1,0.0699253344277843,0.1141936495370633,56471,59344.33578234,3.648202377613448,0.508
155819.00+431328.1,0.2673255229212955,0.4765431760939239,57843,59322.48638648,0.8313062479012491,0.51168627
154153.28+313133.7,0.3225914033823986,0.1312147988299494,55739,59309.44088565,3.489057543086349,0.512
123931.55+620618.1,0.097258404694257,0.1260471026576256,52373,59311.2203846,2.874714081469819,1.195541
113854.03+550820.4,0.0596390546445372,0.1922950311237104,57430,59307.35829035,1.3003505947907743,1.1929272413253784
121048.50+003608.2,0.1201458241894981,0.0410372153098916,52023,59320.21766015,12.812838791246676,1.195894
155658.26+443137.0,0.1450437428724006,0.8023765235955577,57845,59312.38316145,0.2667152259703069,1.1969724893569946
103222.44+312029.5,0.3112130718085316,0.2441857193271622,58485,59224.4697416,0.875475271741267,0.4611279368400574
125030.19+622901.0,0.0130790330873527,0.1607824320922738,56444,59310.17592549,1.80586710381878,0.46112525
144158.34+142932.1,0.2386775802717004,0.1052171611243382,54234,59292.43727049,7.152743150110474,0.461
143010.90+515406.2,1.4419124383822162,0.2544070095446833,56416,59310.24440579,1.7549036290727729,0.46107298
122944.88+575845.2,1.210645167191041,0.5156366364150061,58135,59298.38235959,1.7240676040274696,0.46063116
160711.25+440343.7,0.1218621320579099,0.1989218852455837,57897,59311.38455030001,1.2268179934221943,1.144521951675415
101429.95+324919.5,0.0816395058911227,0.5814284368205822,58171,59279.3710628,0.3690643326813209,1.1457653045654297
113651.05+555245.2,0.9388293863144828,0.5040968920644031,57430,59307.35829040001,0.480765240549255,1.1468381881713867
122230.85+532721.5,0.0751094709515549,0.3454031857138067,57432,59307.32351864,0.7085194083354268,1.146651029586792
160923.77+424152.0,0.5046100348865099,0.2431735760086888,57896,59311.38455034,1.0514866783307488,1.1446034908294678
112352.91+532819.7,0.1618774959053117,0.2445179799136499,56637,59298.23741626,2.3973396495088632,0.3509345999999999
101558.32+331313.9,0.7327102401066983,0.172619333751709,53442,59218.46286913,4.396945791621011,0.350393
095902.76+021906.3,2.043425174374616,0.2996925809445915,52235,59330.13318200001,4.382423969075278,0.345653
095819.87+022903.5,0.2133159159990638,0.1194403350321219,51994,59310.11613136,6.542671238536552,0.345669
095044.76+364909.5,0.4664800636432575,0.2087236101319187,52999,59267.19240491,3.4727681510328003,0.345658
143236.82+345153.8,0.5501559269454461,0.4014617751004658,55269,59317.31244306,0.8842248965851955,0.601
023128.98+011250.1,1.4664865456053608,0.1495297420306462,56267,59225.15787282,1.7351751713188657,0.601
111807.97+502431.8,0.4555558171051446,0.3935867020558306,56390,59307.41167821,0.9603997291052856,0.605
120132.29+524248.4,0.1751595050333275,0.1642351172909726,57423,59308.26450975,2.7054875703387813,0.6051850914955139
162113.91+442553.5,-0.0113424527783468,0.0925112140592825,57905,59314.37318394,3.306456878078234,0.6056119000000001
105732.86+524147.5,,,57130,59287.3145432,,2.330927848815918
121234.41+573124.8,,,56429,59309.26965071,,2.337
122756.62+590951.5,0.1152361558154779,0.6760436670939385,56442,59307.31280326,0.4901718204020545,0.7979999999999999
143720.85+143059.6,0.4826420660929911,0.1117164217965027,56033,59292.43727050001,2.6265268565393987,0.7989055
161233.36+200521.4,0.1430368707556305,0.1303765366706852,55332,59292.47415035,2.482933646642215,0.7979999999999999
114101.17+495606.5,1.7814589568109738,0.4229766460429172,56412,59308.27622294,0.7082189362102987,0.7983416999999999
102457.93+332156.0,0.2029331283896214,0.1379258875019922,58466,59203.43642803,1.788847591608394,0.7987155914306641
161725.61+551950.7,0.6931733593672167,0.7507993786001607,58253,59334.41045548,1.597161425245144,0.2715283632278442
160213.13+432522.6,0.0360561481987331,0.2363251272014276,57897,59312.43383386,3.6932156960241977,0.2724273
142321.70+532242.7,0.7141947584052718,0.6777178481394959,57428,59310.24440576,1.921536939144221,0.27262047
121724.15+001226.0,1.4747153764878675,0.1285837484062084,52023,59339.14018722,8.732402051376337,0.272295
161222.79+543154.9,0.1930723358259834,0.4854064875685756,56485,59312.44117213,2.6392265809188937,0.273
150117.42+323823.9,0.0327400008685509,0.0931682076714353,53171,59292.46147514,5.76346730191788,0.598276
142352.63-004924.6,0.7704943239318434,0.2819176346262398,55604,59312.27203326,1.3469183300442895,0.598
075919.45+345128.7,0.2117850210383648,0.0917437813661794,57805,59226.33155373,3.0456911882742155,0.5979067087173462
