Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV Flux Diff On-Off,Median UV Flux Diff On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
124822.42+584840.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58487,59308.28495262,56800.31807859,60432.98145566,56800.31807859,60432.98145566,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
123807.76+532555.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58172,59309.27937448,55341.90321545,60436.6691005,55341.90321545,60436.6691005,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
093442.68+325334.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58224,59294.18947308,55317.1561871,60412.10744205,55317.1561871,60411.52920047,23,21,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
141658.28+521205.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57038,59312.31410948,55362.8410216,60459.70816339,55362.8410216,60459.547845035,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
145954.07+351733.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55653,59348.45952601,55215.3202789,60488.29767852,55215.3202789,60488.201602185,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
121359.29-002000.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55323,59310.21218797,55368.452981049995,60302.986605565005,55368.452981049995,60303.115790045005,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
123850.21+583400.6,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58191,59307.31280329,55334.428872050004,60431.31320063,,,21,7,0.0,,,,,,0.0,,0,0
142653.5+511907.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57513,59314.25563001,55367.6699179,60303.58916917,55367.6699179,60303.13724638,23,16,0.0,,,0.0,,,0.0,0.0,0,0
140640.19-010806.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55363,59341.22485925,55217.3123629,60490.59077858,55217.3123629,60490.71862571,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
155920.40+421207.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57843,59312.38316135,56690.77651031,60500.81715391,56690.77651031,60500.8809502,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
023044.93+011246.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55179,59225.15787282,55217.0804798,60519.303559595,55217.0804798,60520.5459945,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161003.12+543627.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56804,59336.30977083,56677.73034728,60489.22807277,56677.697430379994,60488.87681084,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
142038.52+532416.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57428,59312.31410947,55362.01447305,60459.22797178,55362.01447305,60459.292214015004,24,24,0.0,,,0.0,,,0.0,0.0,0,0
141648.88+530903.5,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57435,59311.26616103,55361.5182382,60458.171195,,,23,10,0.0,,,,,,0.0,,0,0
141320.04+520527.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57159,59312.25883456,55362.0803066,60459.38790867,55362.0803066,60459.09987019,24,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
121938.27+552318.3,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57867,59307.32351873,56798.73794932,60431.60098463,,,17,11,0.0,0.0,0.0,,,,0.0,,0,0
142628.80+021305.7,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55629,59311.34644747,55220.2229828,60494.04125198,55220.2229828,60494.072895695004,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161809.35+551522.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56809,59321.46172222,55218.0288196,60491.049449435,55218.0288196,60490.730022575,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
234329.77+273118.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58013,59203.06679002,55376.2863439,60491.7977501,55376.2863439,60491.7977501,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
234212.44+275213.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58013,59203.06679002,55376.0878246,60491.92540627,55376.0878246,60491.89344447,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
101549.73+331002.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58171,59218.46286913,55325.22757185,60422.77085821,55325.22757185,60422.7066799,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162054.19+435910.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57900,59316.45961604,56696.770248175,60509.814791155004,56696.70435074,60509.36853609,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
133521.81+321404.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58492,59292.39605595,55371.99875925,60466.426002465,55371.99875925,60466.10625679,24,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
113614.74+535157.2,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57049,59307.39542855,55328.5728039,60426.04917524,,,23,10,0.0,,,,,,0.0,,0,0
123711.72+564414.6,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58199,59308.2849525,56801.10719069,60433.782666529994,,,20,14,0.0,0.0,0.0,,,,0.0,,0,0
092317.74+331948.7,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58161,59294.18947304,55314.8076889,60409.6018131,55314.8076889,60409.698144270005,23,21,0.0,,,0.0,,,0.0,0.0,0,0
160556.08+421201.8,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57896,59312.38316148,56871.04509524,60503.37027788,,,19,10,0.0,0.0,0.0,,,,0.0,,0,0
120539.27+531640.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57429,59307.34375238,55334.1960349,60431.24774887,55334.1960349,60273.23737366,21,11,0.0,,,0.0,,,0.0,0.0,0,0
103233.46+315914.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58485,59224.46974158,55329.09750055,60426.42978824,55329.09750055,60426.237253285,23,21,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
145916.67+342802.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58220,59348.45952607,55215.6513591,60488.48881263,55215.6513591,60488.48881263,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
122721.71+452247.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56777,59335.3873082,55346.598532649994,60441.285542115,55346.598532649994,60441.38180957,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
020605.22-063303.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56660,59217.22093664,55210.0655273,60509.965750154995,55210.0655273,60509.83815752,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
143314.19+355028.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58223,59318.48842594,55209.10074725,60481.26634336,55209.10074725,60481.65001224,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160120.37+541708.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56799,59334.41045544,55214.5884644,60486.83189253,55214.5884644,60487.534861195,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160113.63+541207.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57897,59312.49146153,55214.5884644,60486.83182864,55214.5884644,60325.72066031,25,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
161217.95+545042.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56810,59337.42374023,55216.8378995,60489.57971609,55216.8378995,60490.506035155006,25,23,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
143132.84+342115.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58223,59312.3208087,55209.5641958,60481.6818467,55209.5641958,60481.26608863,25,23,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
163102.45+313615.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58255,59308.48025930001,55244.268026599995,60520.64888312,55244.268026599995,60520.64888312,24,22,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0
154643.07+420526.7,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57903,59340.38316703,55222.7624867,60497.11391475,55222.7624867,60335.39542318,25,23,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
142823.15+340445.8,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58223,59342.38074746,56669.23639017,60481.20165571,,,14,3,0.0,0.0,0.0,,,,0.0,,0,0
102144.38+331709.1,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58466,59203.43642803,55326.3522209,59691.99200822,,,13,3,0.0,,,,,,0.0,,0,0
013313.03+311507.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58130,59200.06640136,55215.1013838,60311.864872645005,55215.1013838,60311.76809572,24,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
114246.89+504100.5,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57071,59308.27622294,55332.24388275,60271.460753505,,,21,13,0.0,,,,,,0.0,,0,0
164239.69+305545.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58252,59356.39891113,55248.1718149,60361.11034008,55248.1718149,60361.62567727,23,21,0.0,,,0.0,,,0.0,0.0,0,0
161339.24+534552.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58248,59311.39483452,55218.8562628,60332.04019678,55218.8562628,60128.56206883,24,17,0.0,,,0.0,,,0.0,0.0,0,0
153938.14+433708.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57901,59338.37569316,55219.7516407,60493.825796455,55219.7516407,60493.92155448,25,25,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
155028.39+432634.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57843,59348.39990542,55222.6960162,60496.98657692,55222.6960162,60497.114233085,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
113016.42+513021.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57064,59301.38338885,55329.4984241,60426.81893311,55329.4984241,60426.979379225,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160433.83+535446.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57544,59311.39483454,55215.9118937,60489.57907943,55215.9118937,60327.91361358,25,24,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
015323.38+045923.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55511,59217.16862422,55210.8948831,60510.952107824996,55210.8948831,60511.079573065,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
085524.55+312152.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58140,59226.37565145,55309.8453243,60404.97378208,55309.8453243,60404.97378208,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
122256.17+555533.3,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57867,59309.26965079,55334.626754950004,60431.31256385,,,20,7,0.0,,,,,,0.0,,0,0
160205.95+440714.2,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57897,59311.38455029,55225.7064171,59974.06236206,,,14,5,0.0,,,,,,0.0,,0,0
074417.57+311649.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55538,59220.29517074,55293.4378115,60391.21318755,55293.4378115,60391.309646045,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160434.01+540300.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57544,59312.49146149,55215.7133729,60489.004467275,55215.7133729,60489.26009819,25,25,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
113354.23+511800.9,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,57134,59308.27622287,55330.3254112,60427.71743023,55330.3254112,60427.781544904996,23,17,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
155716.21+425652.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57843,59340.43845644,55225.0450224,60499.73198079,55225.0450224,60499.859636925,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161848.25+540918.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58248,59311.39483462,55219.9479324,60493.57258529001,55219.9479324,60494.21105729,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
081445.86+320536.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55506,59220.32102505,55299.3923918,60396.969949465,55299.3923918,60396.93754193,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
120137.55+534903.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57423,59307.34375237,55333.1377304,60430.317163075,55333.1377304,60272.2680769,23,20,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
160235.34+561800.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58199,59340.42647768,55211.445113,60483.82811981,55211.445113,60483.82811981,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
140716.83-012244.4,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,55363,59338.24905406,55217.5108719,60490.81438376,55217.5108719,60329.8266783,25,23,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
121449.54+572734.1,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57887,59309.26965071,55331.8153273,60428.617327835,,,18,7,0.0,,,,,,0.0,,0,0
143740.56+341442.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58224,59315.49661804,55211.0198024,60483.18366332,55211.0198024,60483.18366332,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
141440.34+532057.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56808,59312.2588346,55360.790631,60457.883601815,55360.790631,60298.42510003,24,21,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
140750.73+513521.1,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57835,59280.49703629,55361.55096395,60458.61955153,55361.55096395,60458.683475095,24,24,0.0,,,0.0,,,0.0,0.0,0,0
142854.61+342244.4,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58223,59311.33460279,56669.23639017,60481.106024734996,,,20,16,0.0,0.0,0.0,,,,0.0,,0,0
023109.23+015402.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55484,59220.10123121,55217.2791279,60521.31040352,55217.2791279,60314.27945764,25,15,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
122444.60+335739.7,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58162,59349.15531293,55353.21162085,60450.67315846,,,13,3,0.0,,,,,,0.0,,0,0
123144.58+535445.2,,,,,0.0,0.0,,,,,,,,,,,,,,,,,58172,59307.32351875,55340.2825238,60435.03338042,,,15,4,0.0,,,,,,0.0,,0,0
113143.20+331538.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55617,59260.39553709,55342.5935769,60437.56250367,55342.5935769,60437.56250367,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
023516.79-022753.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57011,59220.1268411,55216.980519000004,60519.46355944,55216.980519000004,60313.50409616,25,16,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
155043.59+431258.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57843,59338.37569319,56687.35086851,60497.27385069,56865.256002565,60335.71758843,22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
111938.02+513315.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57071,59298.21741069,55327.6460382,60424.95750628,55327.6460382,60424.95750628,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
082012.50+352053.8,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57749,59254.207774,55299.7238524,60397.260217,55299.7238524,60397.260217,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
142758.30+532230.6,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57834,59324.24757592,55363.602182849994,60460.73297911,55363.602182849994,60460.764558630006,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161315.68+545443.3,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56809,59319.41539240001,55216.9703316,60490.474073620004,55216.9703316,60490.02705403,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160809.66+554011.5,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57897,59312.44117217,55214.0588635,60486.288923685,55214.0588635,60486.768223455,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
121559.09+532335.4,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,57429,59306.36305781,55336.5115435,60433.01214412,55336.5115435,60433.01214412,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161433.85+544050.2,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,56809,59321.46172224,55217.7312304,60490.601793395,55217.7312304,60490.601793395,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
165451.35+353931.9,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,58281,59311.41551942,55250.6520399,60363.6208113,55250.6520399,60363.29928267,23,23,0.0,,,0.0,,,0.0,0.0,0,0
121532.90+560919.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57887,59309.26965076,55333.2044554,60430.47837294,,,23,10,0.0,,,,,,0.0,,0,0
115118.98+520927.3,,,,,0.0,0.0,,,,,,,,,,,,,,,,,57423,59307.38051704,55332.574960950005,60429.739493835004,,,23,19,0.0,,,,,,0.0,,0,0
074217.52+392612.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,55480,59254.19610289,55291.61993575,60388.03069131001,55291.61993575,60386.422283859996,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
