W1 Mod Dev for epoch,W2 epoch measurements
-2.269582685942366,18
-0.590400428053367,16
0.3336155083802821,5
2.606737304026734,9
1.3722612280018418,11
-0.5344953814716039,6
-0.061256792741847095,6
-0.5730063368330517,11
0.0,25
-1.4517618762058562,9
-0.5554779519483297,12
0.7786201733357112,9
2.002252250726063,14
1.0,15
1.9489797868897931,12
2.103741093451276,9
1.507559150981609,7
1.386242954589094,16
-0.6946241155029137,14
2.033197091421738,7
-0.7699482266678825,15
-0.8387183886810406,5
-2.06542460875673,8
-1.05106277889208,13
-1.735144325465459,7
0.3486410110733253,1
-0.2736224161930002,1
-0.9489372211079198,4
1.5355703331752601,1
-1.185801954898156,1
1.2278889705591676,2
-0.3171935039717813,1
2.1778886769328984,2
0.7939780163665323,1
-0.14569984083790344,1
3.6291106207695703,1
0.14569984083790344,1
0.029046889535446898,20
-0.897170521581843,28
-2.865267887323977,21
1.1891724747584411,14
0.32960835151859597,25
1.5189739448909843,17
-2.3197393279669885,34
0.0,16
-1.2867467208930936,19
1.2403090394419474,17
2.1435547205955503,20
-1.3612061187913063,16
0.5280918799530236,15
-0.905862733670233,16
1.3704451842762648,26
-0.9918943611029367,14
0.8977279488948716,9
-0.4033481609876982,8
0.22316591488215554,8
-0.5183367410052191,6
0.68446010306861,4
-1.0,7
-2.5926312417798427,5
-1.0312636083703184,8
12.273574022639878,3
-1.6815495511811314,16
-1.9016048459700527,12
0.2540114018570013,9
0.27071905369166016,9
0.30121675979283813,12
0.10500368260126644,11
-0.6333713178709979,6
0.0,16
1.635140817115518,10
-1.0,4
-2.935604069427254,1
-1.838216209219174,3
-0.842977893631518,2
-0.3235926892602178,2
2.7912014490790185,1
5.26641604427257,1
-2.333329259410261,1
116.45900039170431,2
0.18334886848696844,2
-2.4281537683040946,14
-3.1636985406024007,12
1.0,7
1.5148798821109997,7
1.48960104800978,10
0.14534453742891695,7
-2.129809823375608,7
-0.28769864839122067,6
-0.12513172601048486,8
0.2186272766144147,3
0.8455507734760365,10
-0.27412190489383603,5
0.852606569411328,10
0.0,3
-1.3101570830637979,10
-1.0423058679643395,4
0.5032987096415407,9
1.8547831004557243,3
-0.7879144857635112,8
-1.034147323271022,2
-1.1461940446604821,4
1.9375395179610693,3
0.3293018087068099,7
0.34915477866753875,12
1.6624262126450213,13
-0.6038716671003177,12
1.3250757293941002,8
-1.2638147046094736,10
0.4815493937204287,11
-1.73300865797838,12
1.1498015845547924,10
-2.309670633910935,9
-0.4688421354516881,9
-1.3849180653992283,9
-0.3407609637157194,9
-1.8067806269718159,12
0.30587388732338555,10
-1.0,6
0.06566864859301477,5
-0.2763502493908698,7
-1.9052864426984915,7
1.2827414985981949,6
0.0,7
0.8557389308377766,10
3.539066029004818,9
-0.8150438942970506,8
1.2500938823531562,8
0.29118641901727044,6
-1.8656930975929287,13
-3.084986393734579,6
-0.21409657102717705,1
-0.14014091255715108,1
-0.5669084385749498,3
0.0,1
2.485049137433297,2
1.977686560399982,2
1.0,2
2.9293456981777255,2
0.22828822492522435,1
-0.797218144118029,2
6.03368860105711,1
-1.0685770658630211,20
-1.0247801118840218,17
1.2522814296802127,8
0.0,9
0.4271091707521365,4
-1.0346566934089356,1
-0.11845069224175181,4
-0.39899729257913114,8
0.15260694133090108,9
0.11452664414823253,4
-0.7171799925298465,4
1.0,4
-1.4984505089185634,7
0.9693027649692779,9
-1.1623027901025462,3
1.0045239789828,5
-0.08520983196085287,6
2.184455465018257,1
-0.03243890326661771,5
-0.6526663511724832,7
3.171570653302033,12
2.7477615395946278,7
5.522052297536238,5
-2.3691797639647594,10
-1.5057654699335121,15
4.022664530016118,3
0.8462975819175802,3
-0.19350757196435334,4
-1.0,8
0.8160563106555886,4
0.0,5
-0.16581166322213844,4
-1.5941333873315067,8
-1.2459718039000067,4
-0.8411500853222332,6
1.0967771726052333,1
-0.3671353939087223,5
-1.23852497731395,3
2.292475127663032,3
0.7068216497128682,2
-0.1897741160085785,7
2.6994028578420624,6
0.3277892028208114,4
1.187077740967248,6
0.6015289620451736,3
1.8468469436384272,6
-2.473645081076968,11
-1.5762345150111647,17
-1.772146902299059,15
2.3346314270936306,4
-1.0,3
1.3311425750259098,4
-1.020377747574762,2
0.657666487576403,4
0.11980499077558483,6
-0.45101830516883495,6
0.0,5
0.9212859448377011,1
-0.16692641015738968,1
0.2456667218706529,2
0.469486893448695,2
-0.8565285689654205,2
2.369154603480807,1
-1.0671274708334268,1
1.4542934265803642,2
-1.9060019172230744,21
-1.575948770471567,19
0.9392240234299063,9
0.8334214038568275,13
-0.5093831720670826,9
-0.7970063852615525,13
-0.7426527642857115,9
1.361700950798937,24
1.0,11
0.8560469924656476,12
-1.186063634166824,6
-1.767332211823907,13
2.600288008825874,8
1.3693371007577677,7
-1.1032884477922078,8
1.699268767386512,7
0.0,6
0.12944959098630385,6
1.3072027144673704,9
-0.9990775597339286,3
4.6884238751516945,6
-0.11155744637101686,6
-0.8105699951588461,7
0.31297283816928984,15
0.44808090715398946,12
0.08942935058610267,6
-2.2576997188514127,4
-1.9131856392350917,7
-1.0,4
-0.773267421223573,5
-2.5177787827371687,2
-0.9415934377938252,10
1.5495731162250652,5
1.4830928171555584,7
-1.4368559688894231,1
0.2158386271073172,5
-0.8776900392407907,10
0.0,4
1.0986234854736312,4
1.5498244530235077,2
0.2886221511943428,5
-0.15389690124808336,3
-2.872361467613028,3
0.6461648056689494,5
5.0957354725614925,1
-1.0278696388226591,1
0.32366850434211303,15
-1.5775924062979352,14
0.7138782756638906,12
-0.06883529865044634,11
0.02298058839354839,21
-1.7365938190922383,8
-1.078622178017159,9
0.8645684358091283,9
2.006460884934685,12
1.4100972542443886,12
0.746000927280819,13
0.6751400774616276,9
-1.1444495302634943,11
-1.9629003976692654,9
-0.7966507165227511,12
-3.4995819299821633,12
-0.649846898351992,10
-1.2756015251584285,9
-0.13678590361501428,10
0.9213778219828409,12
-0.02298058839354839,11
1.1394926454556695,12
5.65840732967927,9
4.961869055641033,11
1.1001000495433864,28
3.2090295961543243,27
0.17435073893652628,9
-2.4132694708991,23
-5.054105561895247,14
-0.9212569050782031,21
-1.4625039542122107,18
-0.7984996893401409,20
0.6036833134053313,13
1.6521897852572232,20
1.003707688623206,15
1.1775267964306815,21
-1.640600828820824,15
3.5086638690756056,13
-2.0315323680786377,14
0.11901301545063853,13
-0.6738401149538072,24
0.9675418433523857,14
0.6792779534560853,11
-0.8512735920327101,13
-0.9962923113767941,14
-0.925533400419058,20
-0.11901301545063853,15
2.087363937249016,6
2.03672793030541,11
-0.7799063339155529,7
2.3747457954324314,10
-0.37320724118120857,12
2.492183118178257,8
0.0,7
-3.1005046257757534,9
0.5061277644219891,8
0.0374955331373182,11
1.1406421318831794,5
0.4524856064379408,9
-1.0,5
-2.8186608200917433,10
-0.5586281836723569,7
0.8333656369039998,9
5.322096366082564,8
0.910052405247489,10
-3.410998761028381,7
-1.5809469144805772,7
-0.5956104592369396,5
-2.57723828073795,5
0.4230158829892788,8
-1.4365204200010162,11
-4.135808116464932,29
-4.5536535775658225,18
0.3778935848053724,9
0.28852627243152484,4
-0.6194564046036624,6
-2.6753921696282963,7
-1.5567394970425332,4
0.2042895248267593,5
-0.7627129066809127,2
0.0,10
-0.8943179832247944,4
-1.7199597147881798,2
2.0675382466480636,7
0.5606667974367492,4
-1.984085149951099,6
0.15976875936635146,8
